GCCSA_CODE_2016,Age_0_C06_M,Age_0_C06_F,Age_0_C06_P,Age_0_C11_M,Age_0_C11_F,Age_0_C11_P,Age_0_C16_M,Age_0_C16_F,Age_0_C16_P,Age_1_C06_M,Age_1_C06_F,Age_1_C06_P,Age_1_C11_M,Age_1_C11_F,Age_1_C11_P,Age_1_C16_M,Age_1_C16_F,Age_1_C16_P,Age_2_C06_M,Age_2_C06_F,Age_2_C06_P,Age_2_C11_M,Age_2_C11_F,Age_2_C11_P,Age_2_C16_M,Age_2_C16_F,Age_2_C16_P,Age_3_C06_M,Age_3_C06_F,Age_3_C06_P,Age_3_C11_M,Age_3_C11_F,Age_3_C11_P,Age_3_C16_M,Age_3_C16_F,Age_3_C16_P,Age_4_C06_M,Age_4_C06_F,Age_4_C06_P,Age_4_C11_M,Age_4_C11_F,Age_4_C11_P,Age_4_C16_M,Age_4_C16_F,Age_4_C16_P,Age_0_4_C06_M,Age_0_4_C06_F,Age_0_4_C06_P,Age_0_4_C11_M,Age_0_4_C11_F,Age_0_4_C11_P,Age_0_4_C16_M,Age_0_4_C16_F,Age_0_4_C16_P,Age_5_C06_M,Age_5_C06_F,Age_5_C06_P,Age_5_C11_M,Age_5_C11_F,Age_5_C11_P,Age_5_C16_M,Age_5_C16_F,Age_5_C16_P,Age_6_C06_M,Age_6_C06_F,Age_6_C06_P,Age_6_C11_M,Age_6_C11_F,Age_6_C11_P,Age_6_C16_M,Age_6_C16_F,Age_6_C16_P,Age_7_C06_M,Age_7_C06_F,Age_7_C06_P,Age_7_C11_M,Age_7_C11_F,Age_7_C11_P,Age_7_C16_M,Age_7_C16_F,Age_7_C16_P,Age_8_C06_M,Age_8_C06_F,Age_8_C06_P,Age_8_C11_M,Age_8_C11_F,Age_8_C11_P,Age_8_C16_M,Age_8_C16_F,Age_8_C16_P,Age_9_C06_M,Age_9_C06_F,Age_9_C06_P,Age_9_C11_M,Age_9_C11_F,Age_9_C11_P,Age_9_C16_M,Age_9_C16_F,Age_9_C16_P,Age_5_9_C06_M,Age_5_9_C06_F,Age_5_9_C06_P,Age_5_9_C11_M,Age_5_9_C11_F,Age_5_9_C11_P,Age_5_9_C16_M,Age_5_9_C16_F,Age_5_9_C16_P,Age_10_C06_M,Age_10_C06_F,Age_10_C06_P,Age_10_C11_M,Age_10_C11_F,Age_10_C11_P,Age_10_C16_M,Age_10_C16_F,Age_10_C16_P,Age_11_C06_M,Age_11_C06_F,Age_11_C06_P,Age_11_C11_M,Age_11_C11_F,Age_11_C11_P,Age_11_C16_M,Age_11_C16_F,Age_11_C16_P,Age_12_C06_M,Age_12_C06_F,Age_12_C06_P,Age_12_C11_M,Age_12_C11_F,Age_12_C11_P,Age_12_C16_M,Age_12_C16_F,Age_12_C16_P,Age_13_C06_M,Age_13_C06_F,Age_13_C06_P,Age_13_C11_M,Age_13_C11_F,Age_13_C11_P,Age_13_C16_M,Age_13_C16_F,Age_13_C16_P,Age_14_C06_M,Age_14_C06_F,Age_14_C06_P,Age_14_C11_M,Age_14_C11_F,Age_14_C11_P,Age_14_C16_M,Age_14_C16_F,Age_14_C16_P,Age_10_14_C06_M,Age_10_14_C06_F,Age_10_14_C06_P,Age_10_14_C11_M,Age_10_14_C11_F,Age_10_14_C11_P,Age_10_14_C16_M,Age_10_14_C16_F,Age_10_14_C16_P,Age_15_C06_M,Age_15_C06_F,Age_15_C06_P,Age_15_C11_M,Age_15_C11_F,Age_15_C11_P,Age_15_C16_M,Age_15_C16_F,Age_15_C16_P,Age_16_C06_M,Age_16_C06_F,Age_16_C06_P,Age_16_C11_M,Age_16_C11_F,Age_16_C11_P,Age_16_C16_M,Age_16_C16_F,Age_16_C16_P,Age_17_C06_M,Age_17_C06_F,Age_17_C06_P,Age_17_C11_M,Age_17_C11_F,Age_17_C11_P,Age_17_C16_M,Age_17_C16_F,Age_17_C16_P,Age_18_C06_M,Age_18_C06_F,Age_18_C06_P,Age_18_C11_M,Age_18_C11_F,Age_18_C11_P,Age_18_C16_M,Age_18_C16_F,Age_18_C16_P,Age_19_C06_M,Age_19_C06_F
59799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,3,0
59499,29,29,57,28,24,47,19,20,38,11,21,31,30,22,56,17,12,32,18,25,44,29,32,59,16,21,32,17,14,37,14,27,41,15,12,26,20,27,43,30,30,57,15,17,30,99,111,216,125,134,260,81,79,161,24,19,45,25,26,46,12,15,24,18,15,32,21,16,41,15,18,28,13,20,30,15,9,25,14,17,34,16,22,39,22,23,45,14,12,22,11,14,18,25,23,48,17,15,28,76,83,160,110,94,206,66,72,134,16,15,23,19,13,33,12,11,26,15,10,25,17,14,26,13,7,24,13,13,21,13,18,29,3,13,13,9,15,15,14,9,24,11,3,13,11,7,19,9,11,28,6,10,25,57,54,109,68,67,137,54,46,102,12,9,28,16,9,26,11,8,17,13,13,31,17,18,32,11,8,18,16,10,24,26,23,49,12,14,23,34,30,58,31,20,45,17,12,36,44,39
4RSAU,2111,2001,4117,2155,2035,4185,1906,1926,3839,2162,2160,4323,2253,2128,4382,2068,1986,4054,2186,2051,4238,2389,2191,4576,2148,2062,4212,2264,2097,4358,2371,2236,4610,2213,2091,4298,2229,2246,4478,2401,2289,4691,2285,2141,4431,10946,10561,21507,11576,10877,22448,10628,10211,20840,2292,2257,4553,2356,2225,4583,2365,2061,4424,2536,2318,4852,2385,2254,4635,2379,2218,4599,2470,2428,4895,2372,2184,4560,2456,2250,4709,2502,2368,4870,2341,2202,4547,2400,2240,4640,2571,2462,5028,2324,2324,4650,2426,2334,4760,12362,11832,24191,11783,11187,22976,12027,11104,23131,2578,2516,5096,2371,2299,4671,2326,2256,4579,2686,2454,5133,2596,2380,4983,2450,2252,4703,2654,2572,5220,2497,2460,4954,2339,2196,4536,2674,2608,5287,2506,2409,4919,2345,2135,4482,2647,2576,5228,2566,2489,5059,2301,2270,4566,13237,12730,25968,12544,12037,24577,11767,11107,22869,2696,2360,5053,2544,2398,4942,2251,2214,4468,2558,2326,4887,2573,2295,4866,2357,2218,4581,2519,2148,4660,2501,2373,4878,2326,2248,4570,2184,1839,4023,2299,1989,4289,2036,1859,3900,1971,1589
4GADE,6879,6413,13289,7364,7067,14435,7351,6930,14284,6664,6234,12898,7577,7137,14713,7811,7377,15179,6857,6327,13187,7476,7198,14676,7908,7447,15348,6637,6468,13105,7566,7258,14826,8044,7494,15538,6835,6388,13222,7514,7392,14909,8123,7662,15786,33864,31832,65697,37499,36057,73556,39238,36906,76145,6774,6689,13465,7535,6965,14496,7764,7550,15312,7120,6630,13756,7045,6904,13943,8102,7464,15563,7202,6859,14056,7288,6689,13974,7843,7547,15386,7121,6841,13961,7001,6805,13799,7884,7682,15568,7217,6905,14123,7222,6681,13897,7782,7657,15439,35433,33926,69356,36089,34033,70121,39373,37897,77270,7544,7014,14559,7205,6900,14102,7725,7200,14920,7692,7215,14911,7427,6997,14421,7332,7009,14338,7341,7108,14445,7575,7246,14820,7466,7039,14508,7662,7164,14829,7577,7209,14779,7279,7039,14314,7765,7314,15085,7550,7276,14826,7481,6967,14452,38004,35822,73830,37330,35620,72954,37283,35243,72533,7856,7376,15232,7959,7456,15410,7597,7306,14903,7905,7608,15515,8289,7717,15999,7950,7447,15392,8163,7492,15653,7980,7646,15629,8113,7650,15762,7944,7749,15691,8241,7966,16210,8222,7996,16220,8128,8181
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49499,19,11,28,21,17,31,13,10,16,10,12,25,21,20,35,10,4,18,17,19,34,15,14,30,11,9,22,6,5,11,11,9,19,4,10,17,10,17,27,7,8,14,10,8,15,68,63,127,68,64,132,50,43,91,10,3,18,8,16,27,3,8,13,8,8,11,8,13,22,3,12,14,8,6,15,4,11,18,9,9,14,6,6,10,14,10,22,8,7,15,3,4,10,8,8,21,12,8,20,35,28,63,49,61,110,35,37,67,9,10,17,5,9,10,6,10,16,10,3,17,10,5,15,5,10,11,5,10,15,7,3,12,7,12,18,7,8,11,4,8,12,0,6,8,4,7,15,11,3,13,8,0,11,38,42,79,35,28,57,29,34,60,4,9,18,4,3,12,13,6,23,12,10,20,13,14,29,18,21,36,10,17,27,8,11,18,15,23,38,23,24,43,19,12,32,12,14,34,29,25
3RQLD,13962,13234,27195,14931,14347,29281,13814,13035,26850,13749,12783,26536,15522,14833,30351,15111,14369,29480,13348,12681,26021,15827,14947,30770,15472,14780,30254,13364,12855,26221,16236,15269,31504,15656,14793,30453,13975,13165,27142,16315,15002,31317,15939,15245,31185,68389,64722,133109,78825,74393,153224,76005,72221,148226,14543,13797,28340,16011,15265,31276,16098,15482,31579,14648,13758,28403,15661,14642,30301,16470,15818,32284,14531,13681,28204,15281,14422,29705,16721,15866,32588,14710,14198,28906,15144,14393,29538,17152,16113,33263,14879,14109,28990,15525,14597,30124,17254,15942,33201,73304,69539,142846,77616,73324,150938,83696,79226,162920,15072,14299,29373,15951,15220,31173,16645,15883,32533,15523,14672,30195,16041,15022,31064,16088,15228,31317,15793,14714,30503,15790,15216,31003,15988,14988,30975,15787,14614,30399,16015,15481,31497,15729,15024,30753,15597,14946,30546,16031,15354,31382,15868,14879,30744,77779,73245,151022,79829,76289,156122,80321,76005,156319,15556,14749,30302,16258,15217,31475,16359,15450,31809,15246,14369,29613,16373,15347,31719,16190,15254,31446,14151,13460,27615,15848,14816,30665,15480,14686,30167,13061,12131,25193,14587,13546,28140,14425,13813,28243,12765,12004
3GBRI,13238,12458,25693,14306,13762,28064,13920,13633,27557,12914,12121,25038,15015,14110,29124,15115,14356,29470,12530,12052,24582,14949,14085,29040,15420,14412,29827,12372,11451,23825,14844,13916,28766,15723,14833,30556,12454,11867,24321,15020,14159,29183,15674,14816,30485,63506,59954,123454,74139,70035,144169,75846,72050,147903,12758,12315,25076,14702,13655,28349,15462,14877,30337,12674,12050,24721,14398,13487,27884,15894,15286,31188,12805,12027,24838,13738,13254,26996,15921,14994,30918,12724,12124,24855,13337,12532,25872,15873,14953,30822,12739,12428,25164,13624,12975,26596,15802,14860,30663,63704,60946,124649,69797,65903,135704,78962,74960,153928,13009,12494,25501,13846,13155,26997,15513,14530,30043,13346,12898,26245,13696,12898,26592,14798,14009,28803,13328,12581,25905,13748,13078,26823,14551,13944,28498,13448,12740,26190,13917,13110,27026,14095,13274,27368,13424,12958,26379,13781,13414,27193,14303,13557,27865,66550,63673,130224,68978,65649,134629,73259,69317,142581,13500,13008,26510,14019,13434,27454,14613,13854,28468,13572,12903,26477,14461,13886,28346,14444,13812,28261,13156,12693,25847,14437,13659,28089,14430,13821,28255,13356,12995,26358,14997,14277,29269,15328,14738,30063,13549,13530
39799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,3,7,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,12,0,0,3,0,0,0,0,7,7,0,0,3,0,0,0,3,0,3,0,0,0,3,0,4,5,3,9,0,0,0,0,0,0,3,0,3,0,0,0,0,0
39499,69,61,127,68,43,111,27,32,60,56,45,104,55,52,102,21,31,52,55,50,107,55,46,101,42,29,74,41,25,65,46,43,88,50,36,82,50,49,104,45,49,87,33,28,63,273,233,510,260,231,494,182,160,339,50,36,86,28,39,66,31,30,60,46,48,93,29,38,64,23,25,47,41,45,87,44,31,75,24,22,54,40,43,82,45,32,76,36,29,66,43,32,79,24,30,53,29,34,65,218,203,417,167,170,336,150,144,289,41,29,73,31,26,60,29,30,56,32,27,58,23,28,51,30,17,45,41,23,61,14,14,35,23,15,36,34,18,46,21,21,43,13,14,26,23,25,52,26,10,35,14,19,28,166,127,295,118,109,230,104,96,197,32,38,69,19,37,59,21,7,30,26,35,68,41,36,71,28,23,53,44,52,103,63,64,125,33,25,58,60,62,124,66,53,117,59,50,103,89,93
2RVIC,7749,7516,15267,8225,7726,15950,8052,7563,15622,7575,7261,14835,8530,8093,16623,8396,8019,16411,7755,7457,15214,8739,8195,16933,8577,8210,16789,7955,7659,15612,8844,8415,17259,8989,8367,17356,8123,7876,15998,9270,8617,17889,8989,8501,17491,39155,37772,76930,43611,41048,84656,43001,40662,83665,8635,7904,16541,8845,8385,17229,8902,8365,17268,8533,8445,16972,8493,8059,16552,9108,8754,17866,9078,8507,17585,8535,8133,16661,9324,8773,18093,9078,8479,17556,8457,8133,16593,9240,8765,18012,9318,8833,18148,8583,8314,16891,9734,8964,18699,44637,42161,86801,42912,41015,83933,46312,43620,89935,9418,8989,18414,8966,8254,17222,9122,8777,17893,9899,9290,19185,8799,8725,17523,8696,8285,16984,9784,9257,19047,9378,8806,18184,8888,8403,17294,9841,9427,19269,9437,8787,18229,8791,8404,17191,10011,9418,19438,9634,9203,18837,8946,8564,17511,48958,46390,95352,46208,43776,89991,44445,42428,86873,10136,9618,19751,9749,9298,19054,9141,8412,17553,10022,9495,19524,10058,9280,19344,9034,8801,17832,9561,8994,18556,9834,9298,19132,9455,8861,18320,8666,8290,16952,9121,8701,17816,9022,8226,17255,7919,7273
2GMEL,24477,23362,47838,26350,24716,51061,28296,26915,55211,23458,22235,45695,27042,25963,53005,30020,28214,58234,23392,22248,45641,26467,25133,51596,29538,28086,57628,23188,21733,44925,26739,25299,52042,29959,28610,58574,22794,21762,44555,26662,25264,51928,29565,27970,57532,117314,111335,228652,133263,126368,259633,147382,139793,287178,23412,22235,45650,26200,24855,51061,28911,27241,56149,23252,22397,45649,25065,23644,48708,29020,27851,56878,23320,22263,45582,24707,23470,48180,28260,27005,55266,23387,21758,45150,24325,22920,47252,28402,26915,55323,23594,22196,45791,23891,22839,46729,28074,26815,54891,116971,110852,227818,124195,117738,241926,142674,135831,278506,23643,22291,45937,24174,22964,47140,27322,25985,53309,24078,22990,47073,24227,23282,47514,26247,24852,51095,24304,22940,47242,24303,23247,47556,26220,24658,50883,24042,23094,47141,24586,22820,47404,25652,24256,49905,24035,22666,46702,24779,23235,48012,24946,23883,48832,120102,113991,234095,122069,115556,237625,130382,123638,254017,24517,23102,47612,24832,23375,48204,25583,24328,49908,24606,23565,48173,25349,24282,49634,25893,25383,51279,24602,23615,48210,25843,24450,50286,26309,25502,51808,25050,24232,49284,26190,25311,51501,28201,27114,55309,26294,25221
29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29499,52,37,91,61,48,115,55,36,94,39,24,59,33,51,85,38,43,80,35,36,71,49,36,87,32,26,62,36,33,66,51,35,84,51,35,86,33,29,65,33,42,71,35,22,60,193,157,353,232,220,448,215,163,379,29,28,59,25,19,44,21,27,43,22,19,37,27,34,60,22,20,42,23,22,45,26,28,54,20,17,30,20,24,42,25,22,50,20,23,44,18,11,25,25,32,56,14,18,32,104,100,206,130,134,263,88,105,195,26,20,47,33,20,57,26,29,49,17,21,40,63,59,121,25,17,41,19,19,36,26,19,46,5,10,18,11,13,28,19,17,36,14,10,25,18,17,31,34,32,67,23,22,41,92,93,178,179,150,331,88,88,176,21,17,35,19,22,39,16,18,34,15,29,49,29,31,56,18,15,36,32,32,67,47,59,100,29,28,54,64,61,119,56,70,131,55,50,103,74,55
1RNSW,15283,14681,29961,15430,14493,29924,14805,13968,28772,15240,14146,29381,16020,15372,31391,15461,14596,30054,14993,14222,29216,16465,15591,32062,15875,15153,31025,15358,14625,29978,16515,15967,32485,16624,15528,32152,15733,14903,30639,17117,16307,33421,16871,15737,32606,76609,72570,149173,81546,77732,159284,79636,74976,154615,16529,15489,32018,16822,15915,32741,16758,15965,32724,16713,16054,32767,16355,15447,31805,17021,16442,33459,16915,16292,33204,16209,15208,31410,17468,16437,33905,17203,16325,33527,16150,15436,31585,17329,16664,33991,17494,16456,33948,16372,15659,32030,17793,16829,34624,84847,80616,165462,81902,77669,159574,86367,82337,168699,17423,16903,34323,17145,16070,33212,17195,16364,33561,18229,17535,35765,17127,16412,33538,16729,15753,32481,18450,17650,36106,17326,16784,34111,16510,15417,31920,18410,17654,36065,17504,16604,34110,16310,15553,31867,18595,17442,36036,17728,16554,34287,16340,15772,32116,91108,87188,178297,86824,82427,169255,83088,78863,161945,18604,17722,36332,17459,16689,34155,16703,15811,32516,18572,17279,35849,17852,17071,34918,16662,16108,32776,17468,16770,34237,17754,16932,34689,16755,16213,32968,15967,15042,31010,16850,15601,32449,16152,15118,31271,15304,14216
1GSYD,29374,27725,57099,30403,28847,59247,30086,28777,58863,28172,26231,54397,31314,29794,61111,32298,30444,62744,27616,25872,53487,30431,28963,59399,31933,30550,62483,27695,25912,53610,30679,29011,59697,32402,30558,62961,26831,25390,52224,30655,28798,59454,32302,30818,63122,139686,131130,270816,153486,145416,298898,159029,151145,310173,27649,25925,53573,29630,27899,57530,32093,30346,62442,27880,26326,54212,28913,26897,55804,32342,30624,62965,27135,25522,52653,27975,26290,54266,31339,29854,61194,26810,25724,52531,27944,26379,54325,31695,30092,61790,27264,25903,53169,27158,25633,52789,31248,29597,60853,136748,129407,266147,141613,133104,274712,158716,150522,309236,27435,25631,53063,27676,26101,53773,30172,28379,58549,27530,26305,53837,27820,26453,54269,29198,27364,56556,27448,25913,53363,27648,25895,53541,28858,26994,55853,27720,26143,53866,27438,26054,53497,28633,27066,55697,27979,25958,53935,27973,26542,54514,27851,26381,54233,138107,129952,268067,138561,131044,269599,144709,136177,280892,27987,26467,54456,28045,26138,54182,28669,26935,55604,28259,26561,54812,28425,26678,55101,29162,27421,56591,27930,26418,54348,28163,26759,54920,28877,27212,56086,27381,26146,53527,28364,26712,55075,29593,28451,58044,27794,27401
19799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,10,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,5,0,0,0,0,0,0,0,0,3,0,0,0,5,0,4,3,5,12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,3,9,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,3,0,3
19499,43,61,107,68,54,122,43,36,75,51,52,101,58,56,109,42,37,74,49,48,91,61,43,105,43,27,68,44,39,80,57,47,105,36,27,62,35,30,63,59,50,107,31,29,60,216,222,439,305,247,554,188,149,338,40,31,73,41,31,80,30,24,51,34,29,62,29,30,60,28,26,51,36,28,66,38,35,71,19,24,42,33,35,65,31,22,59,27,22,52,25,26,54,31,23,56,21,26,41,161,151,315,168,148,316,119,122,238,19,24,44,42,33,80,19,18,33,26,22,47,31,30,60,10,20,33,16,20,38,22,27,51,20,16,31,25,21,43,43,34,77,18,10,30,19,15,35,29,23,48,19,18,29,97,108,200,164,147,309,82,78,158,29,23,50,44,44,82,20,16,36,24,42,65,75,62,136,33,22,57,58,51,112,70,73,150,35,32,69,86,64,149,80,97,174,65,57,124,113,82