GCCSA_CODE_2016,C11_Aus_Mo_O_B_OS,C11_Aus_BP_B_Aus,C11_Aus_Bplace_NS,C11_Aus_Tot_resp,C11_Aus_Ab_BP_B_OS,C11_Aus_Ab_Fa_O_B_OS,C11_Aus_Ab_Mo_O_B_OS,C11_Aus_Ab_BP_B_Aus,C11_Aus_Abor_Bplace_NS,C11_Aus_Abor_Tot_respons,C11_Chi_BP_B_OS,C11_Chi_Fa_O_B_OS,C11_Chi_Mo_O_B_OS,C11_Chi_BP_B_Aus,C11_Chi_Bplace_NS,C11_Chi_Tot_resp,C11_Cro_BP_B_OS,C11_Cro_Fa_O_B_OS,C11_Cro_Mo_O_B_OS,C11_Cro_BP_B_Aus,C11_Cro_Bplace_NS,C11_Cro_Tot_resp,C11_Dut_BP_B_OS,C11_Dut_Fa_O_B_OS,C11_Dut_Mo_O_B_OS,C11_Dut_BP_B_Aus,C11_Dut_Bplace_NS,C11_Dut_Tot_resp,C11_Eng_BP_B_OS,C11_Eng_Fa_O_B_OS,C11_Eng_Mo_O_B_OS,C11_Eng_BP_B_Aus,C11_Eng_Bplace_NS,C11_Eng_Tot_resp,C11_Fil_BP_B_OS,C11_Fil_Fa_O_B_OS,C11_Fil_Mo_O_B_OS,C11_Fil_BP_B_Aus,C11_Fil_Bplace_NS,C11_Fil_Tot_resp,C11_Fre_BP_B_OS,C11_Fre_Fa_O_B_OS,C11_Fre_Mo_O_B_OS,C11_Fre_BP_B_Aus,C11_Fre_Bplace_NS,C11_Fre_Tot_resp,C11_Ger_BP_B_OS,C11_Ger_Fa_O_B_OS,C11_Ger_Mo_O_B_OS,C11_Ger_BP_B_Aus,C11_Ger_Bplace_NS,C11_Ger_Tot_resp,C11_Gre_BP_B_OS,C11_Gre_Fa_O_B_OS,C11_Gre_Mo_O_B_OS,C11_Gre_BP_B_Aus,C11_Gre_Bplace_NS,C11_Gre_Tot_resp,C11_Hun_BP_B_OS,C11_Hun_Fa_O_B_OS,C11_Hun_Mo_O_B_OS,C11_Hun_BP_B_Aus,C11_Hun_Bplace_NS,C11_Hun_Tot_resp,C11_Ind_BP_B_OS,C11_Ind_Fa_O_B_OS,C11_Ind_Mo_O_B_OS,C11_Ind_BP_B_Aus,C11_Ind_Bplace_NS,C11_Ind_Tot_resp,C11_Iri_BP_B_OS,C11_Iri_Fa_O_B_OS,C11_Iri_Mo_O_B_OS,C11_Iri_BP_B_Aus,C11_Iri_Bplace_NS,C11_Iri_Tot_resp,C11_Ita_BP_B_OS,C11_Ita_Fa_O_B_OS,C11_Ita_Mo_O_B_OS,C11_Ita_BP_B_Aus,C11_Ita_Bplace_NS,C11_Ita_Tot_resp,C11_Kor_BP_B_OS,C11_Kor_Fa_O_B_OS,C11_Kor_Mo_O_B_OS,C11_Kor_BP_B_Aus,C11_Kor_Bplace_NS,C11_Kor_Tot_resp,C11_Leb_BP_B_OS,C11_Leb_Fa_O_B_OS,C11_Leb_Mo_O_B_OS,C11_Leb_BP_B_Aus,C11_Leb_Bplace_NS,C11_Leb_Tot_resp,C11_Mac_BP_B_OS,C11_Mac_Fa_O_B_OS,C11_Mac_Mo_O_B_OS,C11_Mac_BP_B_Aus,C11_Mac_Bplace_NS,C11_Mac_Tot_resp,C11_Mal_BP_B_OS,C11_Mal_Fa_O_B_OS,C11_Mal_Mo_O_B_OS,C11_Mal_BP_B_Aus,C11_Mal_Bplace_NS,C11_Mal_Tot_resp,C11_Mao_BP_B_OS,C11_Mao_Fa_O_B_OS,C11_Mao_Mo_O_B_OS,C11_Mao_BP_B_Aus,C11_Mao_Bplace_NS,C11_Mao_Tot_resp,C11_NZ_BP_B_OS,C11_NZ_Fa_O_B_OS,C11_NZ_Mo_O_B_OS,C11_NZ_BP_B_Aus,C11_NZ_Bplace_NS,C11_NZ_Tot_resp,C11_Pol_BP_B_OS,C11_Pol_Fa_O_B_OS,C11_Pol_Mo_O_B_OS,C11_Pol_BP_B_Aus,C11_Pol_Bplace_NS,C11_Pol_Tot_resp,C11_Rus_BP_B_OS,C11_Rus_Fa_O_B_OS,C11_Rus_Mo_O_B_OS,C11_Rus_BP_B_Aus,C11_Rus_Birthplac_ns,C11_Rus_Tot_resp,C11_Sco_BP_B_OS,C11_Sco_Fa_O_B_OS,C11_Sco_Mo_O_B_OS,C11_Sco_BP_B_Aus,C11_Sco_Birthplac_ns,C11_Sco_Tot_resp,C11_Ser_BP_B_OS,C11_Ser_Fa_O_B_OS,C11_Ser_Mo_O_B_OS,C11_Ser_BP_B_Aus,C11_Ser_Bplace_NS,C11_Ser_Tot_resp,C11_SAf_BP_B_OS,C11_SAf_Fa_O_B_OS,C11_SAf_Mo_O_B_OS,C11_SAf_BP_B_Aus,C11_SAf_Bplace_NS,C11_SAf_Tot_resp,C11_Span_BP_B_OS,C11_Span_Fa_O_B_OS,C11_Span_Mo_O_B_OS,C11_Span_BP_B_Aus,C11_Span_Bplace_NS,C11_Span_Tot_resp,C11_SriL_BP_B_OS,C11_SriL_Fa_O_B_OS,C11_SriL_Mo_O_B_OS,C11_SriL_BP_B_Aus,C11_SriL_Bplace_NS,C11_SriL_Tot_resp,C11_Turk_BP_B_OS,C11_Turk_Fa_O_B_OS,C11_Turk_Mo_O_B_OS,C11_Turk_BP_B_Aus,C11_Turk_Bplace_NS,C11_Turk_Tot_resp,C11_Viet_BP_B_OS,C11_Viet_Fa_O_B_OS,C11_Viet_Mo_O_B_OS,C11_Viet_BP_B_Aus,C11_Viet_Bplace_NS,C11_Viet_Tot_resp,C11_Wel_BP_B_OS,C11_Wel_Fa_O_B_OS,C11_Wel_Mo_O_B_OS,C11_Wel_BP_B_Aus,C11_Wel_Bplace_NS,C11_Wel_Tot_resp,C11_Oth_BP_B_OS,C11_Oth_Fa_O_B_OS,C11_Oth_Mo_O_B_OS,C11_Oth_BP_B_Aus,C11_Oth_Bplace_NS,C11_Oth_Tot_resp,C11_Anc_ns_BP_B_OS,C11_Anc_ns_Fa_O_B_OS,C11_Anc_ns_Mo_O_B_OS,C11_Anc_ns_BP_B_Aus,C11_Anc_ns_Bplace_NS,C11_Anc_NS_T_resp,C11_T_P_BP_B_OS,C11_T_P_Fa_only_bor_os,C11_T_P_Mo_O_B_OS,C11_T_P_BP_B_Aus,C11_T_P_Bplace_NS,C11_T_P_Tot_resp,C16_Aus_BP_B_OS,C16_Aus_Fa_O_B_OS,C16_Aus_Mo_O_B_OS,C16_Aus_BP_B_Aus
5GPER,59421,356600,11452,520579,18,196,122,3051,215,3606,66037,1394,1991,1662,1169,72253,8691,1983,885,4018,237,15810,19571,5294,3292,7129,506,35801,268805,68264,53210,246145,13189,649617,14060,241,1218,145,405,16062,6314,717,624,2079,166,9895,18568,4392,3188,19383,826,46352,5903,1725,762,3793,202,12386,2647,432,237,478,57,3851,34085,1390,944,841,596,37867,49355,11962,8483,71823,2641,144261,42557,12686,5595,31198,1821,93858,3968,40,119,71,78,4277,1779,311,193,298,66,2652,5921,735,399,1423,193,8672,1931,586,287,795,71,3661,13819,1235,893,325,516,16783,14064,3823,2377,597,392,21251,10493,1369,918,2433,245,15458,2770,278,287,538,59,3933,57664,14184,10675,58187,2403,143110,4977,302,149,265,102,5803,19473,1091,876,224,269,21930,4377,435,364,1234,132,6549,4034,331,192,148,63,4760,1447,146,44,39,45,1724,14304,224,272,121,391,15314,9286,1618,1085,2984,237,15214,137248,12457,9827,11353,3897,174774,12924,1946,1708,12093,90705,119373,744302,139189,102634,618055,124677,1728865,20617,84847,67022,369324
59799,4,70,0,86,0,0,0,3,0,3,3,0,0,0,0,5,3,0,0,3,0,8,4,0,3,3,0,9,53,12,14,66,0,150,0,0,0,0,0,4,3,0,0,3,0,4,3,3,0,9,0,11,0,0,0,0,0,0,3,0,0,0,0,3,4,0,0,0,0,4,13,0,0,31,4,51,4,0,0,8,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,29,4,4,21,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,24,0,5,4,0,41,0,0,0,0,63,68,140,19,18,163,69,417,5,9,7,48
59499,175,1574,53,2055,0,0,0,48,6,56,102,6,0,6,4,119,10,3,0,5,0,26,92,25,11,16,0,147,1066,228,156,1099,47,2595,45,3,3,0,0,53,31,0,0,6,0,44,130,17,9,125,4,282,5,3,0,6,0,13,13,3,0,0,0,14,46,3,4,3,0,60,307,48,20,386,12,771,58,19,9,42,0,129,7,0,0,0,0,7,3,0,0,0,0,7,3,0,0,0,0,4,6,0,0,0,0,9,58,6,4,3,0,72,107,13,16,3,0,139,36,4,6,11,0,59,5,0,0,0,0,14,258,61,34,299,14,663,4,0,0,0,0,4,54,0,3,0,0,56,19,0,0,10,0,28,8,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,18,38,5,0,15,0,56,398,32,27,53,5,522,25,9,7,62,1235,1336,2433,429,297,2791,1344,7299,41,167,117,1354
4RSAU,7439,133109,3484,154776,6,52,23,4525,125,4731,926,48,73,362,26,1432,654,147,42,252,23,1112,3173,954,619,1511,93,6347,24413,9644,8071,104859,3324,150313,1306,33,216,37,62,1650,393,95,71,738,33,1321,3701,1736,1229,33345,609,40620,1567,287,99,947,55,2962,422,110,20,126,7,690,1000,45,41,81,24,1192,3075,1434,958,22270,537,28277,2857,1006,376,3518,131,7886,203,3,23,6,0,238,88,29,14,124,4,262,37,11,8,15,0,77,236,104,55,228,18,636,626,148,76,118,38,1001,668,338,195,103,21,1331,819,211,107,711,34,1883,224,47,42,134,3,451,5170,2185,1667,22314,501,31833,154,32,11,37,5,247,539,56,43,32,9,684,297,61,23,203,19,606,153,11,17,15,9,208,146,25,16,16,11,206,225,32,26,14,0,303,819,238,135,955,26,2179,5941,1214,764,2851,276,11045,940,307,220,6479,15467,23419,53070,18528,13858,259729,23077,368260,1556,9903,7772,136640
4GADE,31879,303681,8677,395295,16,179,116,2466,152,2922,32291,708,815,1099,618,35526,4463,668,319,1013,123,6588,10719,3385,2021,4533,304,20970,124712,42623,33312,246767,9617,457035,8220,220,1051,121,247,9860,2147,464,320,2261,120,5311,16761,6370,4134,55213,1337,83816,20211,3526,1424,8772,770,34692,3076,638,223,760,89,4783,18216,424,273,329,365,19610,17828,6927,4655,61599,1723,92727,43452,9761,3593,25478,1646,83929,3205,52,94,102,51,3500,2584,643,266,918,122,4531,1011,129,75,278,16,1514,2947,810,452,1542,107,5851,1328,369,245,201,81,2220,2867,1138,776,281,110,5171,10474,1459,777,3099,256,16067,3746,390,286,669,76,5166,24654,8781,6649,54351,1551,95982,4379,375,183,372,106,5417,3258,262,246,98,60,3923,2291,307,207,683,74,3559,1961,114,94,69,42,2278,608,95,30,58,14,802,14120,373,296,155,500,15448,4303,915,644,2819,115,8796,67983,7406,4584,9873,2230,92078,7555,1172,975,11730,44838,66266,413640,88380,61325,591912,69964,1225235,10751,46149,33773,303718
49799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0
49499,75,796,36,1029,0,0,3,26,0,27,58,0,0,6,3,62,5,0,0,0,0,4,27,10,12,7,0,56,264,81,90,533,28,997,6,0,3,0,0,6,8,0,0,5,3,17,47,18,11,115,6,194,9,4,0,3,0,27,3,0,0,0,0,7,31,0,0,3,0,32,58,18,7,150,5,239,31,7,0,34,3,74,3,0,0,0,0,11,3,0,0,0,0,4,0,0,0,0,0,0,3,3,0,6,0,13,8,0,0,0,0,11,17,4,0,3,0,23,15,0,0,6,0,23,3,0,0,0,0,7,70,25,8,123,7,231,3,0,0,0,0,3,9,0,0,0,0,7,3,0,0,3,0,10,0,0,0,0,0,4,0,0,0,0,0,0,20,0,0,9,0,31,10,6,3,9,0,27,147,16,3,41,3,214,19,3,4,24,490,538,786,174,141,1401,568,3069,25,79,58,653
3RQLD,56244,713369,19314,869912,35,372,187,24452,438,25489,15774,1051,1229,6765,506,25327,3323,589,226,1036,92,5258,16967,4907,3210,8346,560,33991,178846,63744,49000,556375,19083,867050,13534,415,2728,351,469,17503,5660,916,702,4691,203,12178,23052,8291,5972,107704,2428,147454,3849,1556,625,4296,204,10529,3189,682,216,774,75,4934,9992,531,375,782,238,11910,31116,13513,9723,186135,4439,244923,19701,7819,3156,33218,1158,65048,4623,30,125,96,104,4981,945,345,186,983,57,2518,539,101,51,161,16,864,3811,1479,805,4451,180,10724,15340,2021,1426,1009,583,20382,18935,4993,3671,1329,546,29476,5238,1018,682,3139,174,10255,2768,504,357,1500,92,5234,42113,15882,11708,144971,3575,218252,1544,204,74,197,46,2065,9240,639,564,276,130,10848,3888,639,410,2555,173,7664,1587,190,116,236,33,2162,926,157,56,70,39,1248,2208,85,105,52,63,2512,5094,1383,846,5528,154,12994,76334,12660,10495,36625,3302,139413,8478,2449,2232,38014,129688,180854,443530,135147,103047,1396942,175064,2253723,13815,77682,63262,742467
3GBRI,59053,548361,14546,714082,44,333,147,4306,250,5079,59711,1751,2328,4298,1255,69339,3973,750,307,888,89,6000,17133,5654,3343,8420,447,34996,185707,68560,49895,438193,15361,757713,17686,468,2784,355,469,21771,6068,1129,753,4149,192,12288,21638,8377,5609,85150,1946,122719,7259,2451,976,6045,379,17103,3756,720,298,890,75,5733,31153,992,736,683,597,34159,36995,16046,10863,170871,3822,238602,17719,7051,2769,22477,958,50978,8727,39,172,125,198,9257,1982,603,252,1251,96,4191,1014,141,56,122,15,1350,2243,931,520,2089,117,5901,22270,2202,1622,754,913,27751,20072,5085,3873,1158,690,30873,7622,1508,962,3553,210,13858,4329,659,483,1577,116,7171,44931,17192,12293,124030,3074,201525,3463,298,154,276,56,4258,11553,919,716,269,175,13627,5990,743,536,1709,148,9129,4412,320,225,229,82,5263,1215,215,35,64,37,1561,17380,329,380,191,595,18879,5525,1490,912,5630,162,13721,130224,14777,11547,21545,4432,182519,12466,2331,2079,22815,92681,132377,610747,146799,107041,1068787,132617,2065998,18166,85746,66318,553892
39799,19,105,3,141,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,6,0,0,0,0,6,62,11,16,100,10,198,3,0,0,0,0,8,3,0,0,0,0,4,8,3,0,15,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,3,3,33,0,46,3,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,16,4,0,29,0,48,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,15,0,3,4,0,19,3,0,0,3,70,78,122,24,29,218,79,473,0,3,0,31
39499,264,3094,107,3859,7,3,0,74,0,82,142,0,6,20,6,175,19,5,0,7,0,29,148,27,12,37,0,222,1426,307,226,2434,116,4505,59,0,10,0,3,76,61,0,3,17,4,94,177,30,29,433,11,685,21,7,0,27,0,55,20,0,0,6,0,30,56,3,0,5,0,65,369,65,37,854,30,1361,89,23,9,105,9,229,23,0,0,0,5,27,3,0,0,3,0,9,0,0,0,0,0,0,20,7,0,9,0,38,119,13,12,0,5,143,204,26,19,11,3,265,35,7,5,8,0,61,18,0,0,8,0,28,346,75,66,677,14,1182,7,0,0,0,0,9,37,0,7,0,0,50,33,0,3,16,0,52,0,0,0,0,0,5,5,0,0,0,0,4,22,0,0,0,0,21,54,8,12,31,0,106,576,65,30,157,32,858,65,12,3,177,1713,1974,3479,622,452,6009,1984,12543,60,362,215,3075
2RVIC,25973,470226,12686,550046,10,79,43,2051,129,2309,5969,381,418,2664,212,9639,4368,727,286,1153,151,6676,13912,4834,2915,8869,436,30971,60504,35631,25689,402642,12699,537167,3973,106,832,94,172,5175,1339,364,262,3112,106,5187,11446,4003,2585,42549,1131,61708,3651,976,283,2376,151,7440,2012,421,166,620,52,3267,5261,307,174,307,118,6166,11317,8258,5065,141869,3361,169862,17772,5273,1844,22718,977,48594,329,11,22,37,17,415,419,175,52,399,24,1070,1657,234,89,417,50,2442,3233,1077,432,1997,135,6876,1680,471,330,371,102,2943,3152,1538,1131,569,136,6525,4155,861,440,2006,127,7588,1159,222,140,526,46,2094,15880,9499,6877,112492,2608,147357,1513,201,85,213,44,2052,1574,255,244,178,33,2280,1311,269,195,1209,79,3055,980,151,100,107,39,1370,1465,205,72,126,87,1946,1160,36,60,21,45,1323,2055,749,478,3660,105,7053,29131,5586,3652,11635,1345,51360,4298,1439,1035,26778,54911,88469,189812,74562,50146,946739,84452,1345717,5782,40214,28238,488879
2GMEL,88334,787102,21952,1053992,34,185,104,2161,118,2600,226076,3446,5051,5648,4428,244648,25398,2986,1312,4130,632,34457,32667,10523,5945,15275,911,65320,246259,103064,73916,628757,23429,1075427,39589,648,3168,389,1051,44849,11345,1760,1180,6638,355,21279,41194,11929,7469,59017,2099,121709,101306,13482,5994,30118,3353,154258,12800,2030,1058,2470,340,18700,118702,2417,1732,1090,2132,126075,52743,25799,16886,249700,6227,351351,150773,31252,13115,78011,5964,279112,10699,82,228,150,207,11364,28304,4454,1840,3241,1269,39116,29827,3041,1405,4411,930,39617,36786,7133,4048,13106,1266,62340,12177,1289,995,452,458,15374,17212,5063,3822,1319,514,27932,30824,4300,2763,6909,729,45533,14980,1302,996,2043,299,19625,59074,25345,18879,181085,4619,289005,16644,1202,608,1125,419,19991,14283,1519,1180,428,235,17636,13079,1206,977,2417,438,18114,32351,1978,1158,969,621,37075,27480,2660,1168,1253,993,33557,74607,715,1079,473,2479,79354,7019,2135,1429,7364,231,18176,358315,29607,21069,31831,11133,451952,41291,4754,3490,34088,172589,256211,1719316,268511,179810,1578235,254100,3999981,47126,136637,99278,779973
29799,0,13,0,16,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,9,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,13,3,0,16,3,36,0,0,0,9
29499,170,1646,87,2185,0,3,0,30,4,39,279,4,10,17,5,313,20,3,6,3,0,36,76,16,17,30,8,154,566,204,172,1310,55,2307,32,0,0,3,0,38,33,6,7,12,0,56,91,30,22,135,5,277,52,9,4,21,3,87,15,4,0,5,0,27,116,5,0,5,0,136,203,45,39,502,16,805,110,43,16,80,11,253,14,0,0,0,0,14,35,3,4,3,0,49,13,0,0,3,0,16,20,4,0,15,3,46,35,0,5,0,0,44,64,10,7,3,3,91,41,7,4,20,0,76,11,0,3,7,0,26,136,38,38,386,14,607,11,3,0,3,0,24,16,3,0,0,0,17,17,0,0,6,0,25,32,0,0,4,0,44,26,3,0,0,0,30,95,0,0,4,4,104,18,9,3,21,0,46,609,37,34,98,23,803,64,10,3,87,1626,1786,2512,440,338,3186,1827,8307,49,199,130,1446
1RNSW,54192,920627,25927,1082984,18,353,190,14641,601,15812,12982,907,983,4705,427,20008,4663,907,312,1272,166,7319,14990,5091,3259,8956,478,32773,121278,69868,50485,749610,24719,1015962,7415,306,2001,275,282,10278,3148,916,581,5912,192,10747,19844,7036,4659,71914,1892,105349,6202,1796,637,5025,301,13966,3103,777,270,1063,90,5302,8262,545,449,669,193,10120,21270,14583,9521,243256,5898,294525,22331,7675,2656,28000,1269,61934,1497,53,103,125,40,1818,2345,777,318,1697,151,5287,9589,1134,431,1586,324,13065,4692,1585,804,3486,212,10787,4368,1427,873,1102,263,8036,6985,3496,2663,1571,343,15063,7056,1554,943,3616,232,13396,2300,490,364,1250,77,4480,30924,18408,13354,183559,4309,250554,3267,372,154,410,95,4300,3846,644,470,306,63,5331,4076,637,426,2378,173,7695,1151,169,120,126,27,1596,1749,244,89,95,74,2253,2032,123,124,43,58,2377,5060,1961,1198,7943,229,16385,57068,12597,8451,20926,2388,101437,6674,2629,1942,47420,110775,169448,346367,143264,99674,1756239,167406,2512952,10227,79934,57618,955603
1GSYD,98400,822712,25306,1130300,49,574,258,6541,316,7740,330437,5307,7664,8001,6654,358064,25367,3062,1531,4870,666,35496,22967,7231,4192,9476,637,44498,281348,111603,77268,636222,25666,1132105,74581,1418,4946,643,2007,83595,14275,2146,1577,6832,447,25288,39645,10097,6790,51273,1839,109646,69273,10728,4912,25490,2451,112853,12695,2161,1007,2115,263,18242,121088,2219,1681,1110,2350,128449,64620,27670,18409,248130,6629,365460,95806,23282,9458,51685,3720,183951,47421,231,733,322,1028,49733,100101,16182,6364,14249,4569,141462,18714,1785,848,2264,605,24222,28647,6871,3579,13937,1022,54052,18325,2436,1526,966,814,24068,21679,6416,4770,2036,647,35546,23857,3201,2106,4990,549,34704,17341,1449,1189,2484,356,22822,61343,26271,18516,166299,4559,276988,19041,1447,707,1307,503,23003,21246,2162,1473,561,347,25787,24961,1702,1407,2604,739,31419,15702,688,473,333,321,17524,18921,1624,833,841,607,22830,74681,689,1119,503,2418,79414,8830,2563,1586,7794,303,21076,482403,37071,25976,31924,14068,591447,45124,4920,3843,32200,220352,306439,2014005,289891,194398,1580456,312924,4391673,60420,150269,108726,798863
19799,3,24,0,40,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,16,0,3,16,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,6,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,16,0,0,0,3,8,6,55,3,9,44,8,112,6,17,7,91
19499,239,3024,121,3832,0,7,3,115,15,138,344,7,3,21,11,386,26,4,0,3,0,35,105,18,15,23,0,164,887,303,235,2153,104,3685,61,0,6,0,3,71,45,9,4,23,3,87,125,36,23,238,9,423,48,11,6,15,3,89,15,9,3,6,0,37,106,3,0,3,5,118,254,86,48,799,30,1213,108,29,20,94,14,269,52,0,0,0,0,52,77,26,13,7,3,126,12,0,3,0,0,13,32,13,9,10,3,64,69,7,8,3,0,93,78,20,10,6,3,122,41,12,4,4,4,64,30,3,3,5,0,41,231,72,73,563,21,952,14,0,0,0,0,16,37,0,6,0,0,43,39,3,4,14,3,70,11,0,0,0,0,17,34,7,3,5,0,46,99,0,0,0,9,100,37,6,4,36,3,86,786,95,69,123,37,1113,80,7,9,147,2554,2792,3366,682,512,5475,2883,12917,70,302,198,2595