LGA_NAME16	Year	SpeaksEnglishOnly	persons
Upper Lachlan Shire (A)	2016	0	122
Upper Lachlan Shire (A)	2016	1	6958
Uralla (A)	2006	0	102
Uralla (A)	2006	1	5472
Uralla (A)	2011	0	122
Uralla (A)	2011	1	5681
Uralla (A)	2016	0	99
Uralla (A)	2016	1	5564
Wagga Wagga (C)	2006	0	1724
Wagga Wagga (C)	2006	1	53543
Wagga Wagga (C)	2011	0	2752
Wagga Wagga (C)	2011	1	54800
Wagga Wagga (C)	2016	0	4129
Wagga Wagga (C)	2016	1	54708
Walcha (A)	2006	0	37
Walcha (A)	2006	1	3090
Walcha (A)	2011	0	50
Walcha (A)	2011	1	2901
Walcha (A)	2016	0	44
Walcha (A)	2016	1	2708
Walgett (A)	2006	0	365
Walgett (A)	2006	1	6139
Walgett (A)	2011	0	356
Walgett (A)	2011	1	5537
Walgett (A)	2016	0	322
Walgett (A)	2016	1	5042
Warren (A)	2006	0	16
Warren (A)	2006	1	2637
Warren (A)	2011	0	42
Warren (A)	2011	1	2615
Warren (A)	2016	0	55
Warren (A)	2016	1	2401
Warrumbungle Shire (A)	2006	0	165
Warrumbungle Shire (A)	2006	1	9282
Warrumbungle Shire (A)	2011	0	184
Warrumbungle Shire (A)	2011	1	8837
Warrumbungle Shire (A)	2016	0	194
Warrumbungle Shire (A)	2016	1	8178
Waverley (A)	2006	0	10617
Waverley (A)	2006	1	40324
Waverley (A)	2011	0	11986
Waverley (A)	2011	1	44746
Waverley (A)	2016	0	14020
Waverley (A)	2016	1	45870
Weddin (A)	2006	0	48
Weddin (A)	2006	1	3517
Weddin (A)	2011	0	32
Weddin (A)	2011	1	3476
Weddin (A)	2016	0	46
Weddin (A)	2016	1	3273
Wentworth (A)	2006	0	218
Wentworth (A)	2006	1	6246
Wentworth (A)	2011	0	193
Wentworth (A)	2011	1	6098
Wentworth (A)	2016	0	201
Wentworth (A)	2016	1	5843
Western Plains Regional (A)	2006	0	1004
Western Plains Regional (A)	2006	1	42211
Western Plains Regional (A)	2011	0	1315
Western Plains Regional (A)	2011	1	43532
Western Plains Regional (A)	2016	0	2349
Western Plains Regional (A)	2016	1	43242
Willoughby (C)	2006	0	19793
Willoughby (C)	2006	1	39890
Willoughby (C)	2011	0	23644
Willoughby (C)	2011	1	40685
Willoughby (C)	2016	0	29904
Willoughby (C)	2016	1	40861
Wingecarribee (A)	2006	0	1804
Wingecarribee (A)	2006	1	38454
Wingecarribee (A)	2011	0	1984
Wingecarribee (A)	2011	1	40565
Wingecarribee (A)	2016	0	2703
Wingecarribee (A)	2016	1	42268
Wollondilly (A)	2006	0	2062
Wollondilly (A)	2006	1	36581
Wollondilly (A)	2011	0	2226
Wollondilly (A)	2011	1	39455
Wollondilly (A)	2016	0	2768
Wollondilly (A)	2016	1	43229
Wollongong (C)	2006	0	29667
Wollongong (C)	2006	1	146000
Wollongong (C)	2011	0	32093
Wollongong (C)	2011	1	152693
Wollongong (C)	2016	0	34296
Wollongong (C)	2016	1	159289
Woollahra (A)	2006	0	6397
Woollahra (A)	2006	1	37633
Woollahra (A)	2011	0	6973
Woollahra (A)	2011	1	39817
Woollahra (A)	2016	0	8376
Woollahra (A)	2016	1	41035
Yass Valley (A)	2006	0	427
Yass Valley (A)	2006	1	12270
Yass Valley (A)	2011	0	555
Yass Valley (A)	2011	1	13765
Yass Valley (A)	2016	0	575
Yass Valley (A)	2016	1	14550
Unincorporated NSW	2006	0	20
Unincorporated NSW	2006	1	1002
Unincorporated NSW	2011	0	19
Unincorporated NSW	2011	1	1014
Unincorporated NSW	2016	0	27
Unincorporated NSW	2016	1	905
No usual address (NSW)	2006	0	1624
No usual address (NSW)	2006	1	7491
No usual address (NSW)	2011	0	1716
No usual address (NSW)	2011	1	8616
No usual address (NSW)	2016	0	1822
No usual address (NSW)	2016	1	7212
Migratory - Offshore - Shipping (NSW)	2006	0	5
Migratory - Offshore - Shipping (NSW)	2006	1	49
Migratory - Offshore - Shipping (NSW)	2011	0	21
Migratory - Offshore - Shipping (NSW)	2011	1	83
Migratory - Offshore - Shipping (NSW)	2016	0	92
Migratory - Offshore - Shipping (NSW)	2016	1	279
Alpine (S)	2006	0	1080
Alpine (S)	2006	1	10395
Alpine (S)	2011	0	1046
Alpine (S)	2011	1	10429
Alpine (S)	2016	0	943
Alpine (S)	2016	1	10386
Ararat (RC)	2006	0	212
Ararat (RC)	2006	1	10416
Ararat (RC)	2011	0	317
Ararat (RC)	2011	1	10114
Ararat (RC)	2016	0	424
Ararat (RC)	2016	1	9696
Ballarat (C)	2006	0	2723
Ballarat (C)	2006	1	78647
Ballarat (C)	2011	0	3839
Ballarat (C)	2011	1	85731
Ballarat (C)	2016	0	5499
Ballarat (C)	2016	1	89998
Banyule (C)	2006	0	19509
Banyule (C)	2006	1	91005
Banyule (C)	2011	0	23235
Banyule (C)	2011	1	91061
Banyule (C)	2016	0	26429
Banyule (C)	2016	1	89897
Bass Coast (S)	2006	0	1018
Bass Coast (S)	2006	1	23687
Bass Coast (S)	2011	0	1410
Bass Coast (S)	2011	1	26726
Bass Coast (S)	2016	0	1578
Bass Coast (S)	2016	1	28849
Baw Baw (S)	2006	0	1084
Baw Baw (S)	2006	1	34755
Baw Baw (S)	2011	0	1414
Baw Baw (S)	2011	1	39939
Baw Baw (S)	2016	0	1928
Baw Baw (S)	2016	1	43359
Bayside (C)	2006	0	10602
Bayside (C)	2006	1	73244
Bayside (C)	2011	0	12203
Bayside (C)	2011	1	75685
Bayside (C)	2016	0	14225
Bayside (C)	2016	1	77872
Benalla (RC)	2006	0	336
Benalla (RC)	2006	1	12744
Benalla (RC)	2011	0	394
Benalla (RC)	2011	1	12807
Benalla (RC)	2016	0	393
Benalla (RC)	2016	1	12352
Boroondara (C)	2006	0	31610
Boroondara (C)	2006	1	115812
Boroondara (C)	2011	0	37459
Boroondara (C)	2011	1	115984
Boroondara (C)	2016	0	45581
Boroondara (C)	2016	1	113886
Brimbank (C)	2006	0	90355
Brimbank (C)	2006	1	68534
Brimbank (C)	2011	0	102697
Brimbank (C)	2011	1	69221
Brimbank (C)	2016	0	113457
Brimbank (C)	2016	1	69300
Buloke (S)	2006	0	97
Buloke (S)	2006	1	6549
Buloke (S)	2011	0	152
Buloke (S)	2011	1	6056
Buloke (S)	2016	0	165
Buloke (S)	2016	1	5469
Campaspe (S)	2006	0	773
Campaspe (S)	2006	1	34158
Campaspe (S)	2011	0	911
Campaspe (S)	2011	1	33907
Campaspe (S)	2016	0	1089
Campaspe (S)	2016	1	33183
Cardinia (S)	2006	0	2668
Cardinia (S)	2006	1	51985
Cardinia (S)	2011	0	5203
Cardinia (S)	2011	1	66182
Cardinia (S)	2016	0	10570
Cardinia (S)	2016	1	78326
Casey (C)	2006	0	51018
Casey (C)	2006	1	153805
Casey (C)	2011	0	75365
Casey (C)	2011	1	167896
Casey (C)	2016	0	107272
Casey (C)	2016	1	177273
Central Goldfields (S)	2006	0	204
Central Goldfields (S)	2006	1	11760
Central Goldfields (S)	2011	0	232
Central Goldfields (S)	2011	1	11808
Central Goldfields (S)	2016	0	324
Central Goldfields (S)	2016	1	11755
Colac-Otway (S)	2006	0	485
Colac-Otway (S)	2006	1	19003
Colac-Otway (S)	2011	0	622
Colac-Otway (S)	2011	1	18983
Colac-Otway (S)	2016	0	884
Colac-Otway (S)	2016	1	18643
Corangamite (S)	2006	0	255
Corangamite (S)	2006	1	15791
Corangamite (S)	2011	0	254
Corangamite (S)	2011	1	15590
Corangamite (S)	2016	0	268
Corangamite (S)	2016	1	14519
Darebin (C)	2006	0	49901
Darebin (C)	2006	1	69711
Darebin (C)	2011	0	52877
Darebin (C)	2011	1	76249
Darebin (C)	2016	0	54334
Darebin (C)	2016	1	82621
East Gippsland (S)	2006	0	1183
East Gippsland (S)	2006	1	37146
East Gippsland (S)	2011	0	1344
East Gippsland (S)	2011	1	39158
East Gippsland (S)	2016	0	1586
East Gippsland (S)	2016	1	39559
Frankston (C)	2006	0	9693
Frankston (C)	2006	1	101315
Frankston (C)	2011	0	12914
Frankston (C)	2011	1	107568
Frankston (C)	2016	0	15246
Frankston (C)	2016	1	110620
Gannawarra (S)	2006	0	182
Gannawarra (S)	2006	1	10678
Gannawarra (S)	2011	0	157
Gannawarra (S)	2011	1	9758
Gannawarra (S)	2016	0	207
Gannawarra (S)	2016	1	9589
Glen Eira (C)	2006	0	32195
Glen Eira (C)	2006	1	83863
Glen Eira (C)	2011	0	38554
Glen Eira (C)	2011	1	87021
Glen Eira (C)	2016	0	44372
Glen Eira (C)	2016	1	89939
Glenelg (S)	2006	0	341
Glenelg (S)	2006	1	18632
Glenelg (S)	2011	0	445
Glenelg (S)	2011	1	18326
Glenelg (S)	2016	0	446
Glenelg (S)	2016	1	17547
Golden Plains (S)	2006	0	466
Golden Plains (S)	2006	1	15408
Golden Plains (S)	2011	0	599
Golden Plains (S)	2011	1	17590
Golden Plains (S)	2016	0	651
Golden Plains (S)	2016	1	19931
Greater Bendigo (C)	2006	0	2033
Greater Bendigo (C)	2006	1	87705
Greater Bendigo (C)	2011	0	3152
Greater Bendigo (C)	2011	1	93370
Greater Bendigo (C)	2016	0	5102
Greater Bendigo (C)	2016	1	97865
Greater Dandenong (C)	2006	0	69326
Greater Dandenong (C)	2006	1	48267
Greater Dandenong (C)	2011	0	83030
Greater Dandenong (C)	2011	1	45720
Greater Dandenong (C)	2016	0	98023
Greater Dandenong (C)	2016	1	45355
Greater Geelong (C)	2006	0	18126
Greater Geelong (C)	2006	1	171360
Greater Geelong (C)	2011	0	20265
Greater Geelong (C)	2011	1	182083
Greater Geelong (C)	2016	0	24807
Greater Geelong (C)	2016	1	194156
Greater Shepparton (C)	2006	0	5633
Greater Shepparton (C)	2006	1	48688
Greater Shepparton (C)	2011	0	7552
Greater Shepparton (C)	2011	1	49704
Greater Shepparton (C)	2016	0	9388
Greater Shepparton (C)	2016	1	49039
Hepburn (S)	2006	0	526
Hepburn (S)	2006	1	12556
Hepburn (S)	2011	0	633
Hepburn (S)	2011	1	13094
Hepburn (S)	2016	0	716
Hepburn (S)	2016	1	13232
Hindmarsh (S)	2006	0	123
Hindmarsh (S)	2006	1	5775
Hindmarsh (S)	2011	0	202
Hindmarsh (S)	2011	1	5399
Hindmarsh (S)	2016	0	310
Hindmarsh (S)	2016	1	5035
Hobsons Bay (C)	2006	0	22866
Hobsons Bay (C)	2006	1	54227
Hobsons Bay (C)	2011	0	24675
Hobsons Bay (C)	2011	1	55122
Hobsons Bay (C)	2016	0	25766
Hobsons Bay (C)	2016	1	58235
Horsham (RC)	2006	0	421
Horsham (RC)	2006	1	17524
Horsham (RC)	2011	0	572
Horsham (RC)	2011	1	18018
Horsham (RC)	2016	0	746
Horsham (RC)	2016	1	17827
Hume (C)	2006	0	53497
Hume (C)	2006	1	86217
Hume (C)	2011	0	68651
Hume (C)	2011	1	90836
Hume (C)	2016	0	88555
Hume (C)	2016	1	97600
Indigo (S)	2006	0	321
Indigo (S)	2006	1	13836
Indigo (S)	2011	0	326
Indigo (S)	2011	1	14159
Indigo (S)	2016	0	361
Indigo (S)	2016	1	14477
Kingston (C) (Vic.)	2006	0	30699
Kingston (C) (Vic.)	2006	1	97212
Kingston (C) (Vic.)	2011	0	35107
Kingston (C) (Vic.)	2011	1	101617
Kingston (C) (Vic.)	2016	0	39352
Kingston (C) (Vic.)	2016	1	104407
Knox (C)	2006	0	25978
Knox (C)	2006	1	116144
Knox (C)	2011	0	31565
Knox (C)	2011	1	114024
Knox (C)	2016	0	38825
Knox (C)	2016	1	109490
Latrobe (C) (Vic.)	2006	0	4105
Latrobe (C) (Vic.)	2006	1	62049
Latrobe (C) (Vic.)	2011	0	4991
Latrobe (C) (Vic.)	2011	1	64043
Latrobe (C) (Vic.)	2016	0	4835
Latrobe (C) (Vic.)	2016	1	62594
Loddon (S)	2006	0	115
Loddon (S)	2006	1	7479
Loddon (S)	2011	0	165
Loddon (S)	2011	1	6923
Loddon (S)	2016	0	223
Loddon (S)	2016	1	6482
Macedon Ranges (S)	2006	0	1459
Macedon Ranges (S)	2006	1	35305
Macedon Ranges (S)	2011	0	1744
Macedon Ranges (S)	2011	1	38697
Macedon Ranges (S)	2016	0	2061
Macedon Ranges (S)	2016	1	41018
Manningham (C)	2006	0	39252
Manningham (C)	2006	1	66673
Manningham (C)	2011	0	43166
Manningham (C)	2011	1	64927
Manningham (C)	2016	0	49408
Manningham (C)	2016	1	62330
Mansfield (S)	2006	0	199
Mansfield (S)	2006	1	6583
Mansfield (S)	2011	0	323
Mansfield (S)	2011	1	7293
Mansfield (S)	2016	0	336
Mansfield (S)	2016	1	7592
Maribyrnong (C)	2006	0	27048
Maribyrnong (C)	2006	1	31449
Maribyrnong (C)	2011	0	30676
Maribyrnong (C)	2011	1	35586
Maribyrnong (C)	2016	0	34445
Maribyrnong (C)	2016	1	42041
Maroondah (C)	2006	0	9011
Maroondah (C)	2006	1	86444
Maroondah (C)	2011	0	13093
Maroondah (C)	2011	1	87770
Maroondah (C)	2016	0	18727
Maroondah (C)	2016	1	87020
Melbourne (C)	2006	0	25363
Melbourne (C)	2006	1	39685
Melbourne (C)	2011	0	35746
Melbourne (C)	2011	1	47437
Melbourne (C)	2016	0	65445
Melbourne (C)	2016	1	55010
Melton (C)	2006	0	19169
Melton (C)	2006	1	55403
Melton (C)	2011	0	31584
Melton (C)	2011	1	71898
Melton (C)	2016	0	43583
Melton (C)	2016	1	82985
Mildura (RC)	2006	0	4147
Mildura (RC)	2006	1	43556
Mildura (RC)	2011	0	4572
Mildura (RC)	2011	1	43919
Mildura (RC)	2016	0	5125
Mildura (RC)	2016	1	44285
Mitchell (S)	2006	0	1537
Mitchell (S)	2006	1	27956
Mitchell (S)	2011	0	1959
Mitchell (S)	2011	1	30946
Mitchell (S)	2016	0	2949
Mitchell (S)	2016	1	34690
Moira (S)	2006	0	1162
Moira (S)	2006	1	24834
Moira (S)	2011	0	1307
Moira (S)	2011	1	25445
Moira (S)	2016	0	1330
Moira (S)	2016	1	25558
Monash (C)	2006	0	62200
Monash (C)	2006	1	91439
Monash (C)	2011	0	75210
Monash (C)	2011	1	88164
Monash (C)	2016	0	91552
Monash (C)	2016	1	82943
Moonee Valley (C)	2006	0	29367
Moonee Valley (C)	2006	1	67091
Moonee Valley (C)	2011	0	31813
Moonee Valley (C)	2011	1	70546
Moonee Valley (C)	2016	0	34714
Moonee Valley (C)	2016	1	75216
Moorabool (S)	2006	0	950
Moorabool (S)	2006	1	23619
Moorabool (S)	2011	0	1279
Moorabool (S)	2011	1	25781
Moorabool (S)	2016	0	1695
Moorabool (S)	2016	1	28161
Moreland (C)	2006	0	53589
Moreland (C)	2006	1	74128
Moreland (C)	2011	0	58071
Moreland (C)	2011	1	81344
Moreland (C)	2016	0	62038
Moreland (C)	2016	1	91028
Mornington Peninsula (S)	2006	0	6079
Mornington Peninsula (S)	2006	1	121524
Mornington Peninsula (S)	2011	0	7156
Mornington Peninsula (S)	2011	1	130626
Mornington Peninsula (S)	2016	0	8404
Mornington Peninsula (S)	2016	1	137793
Mount Alexander (S)	2006	0	354
Mount Alexander (S)	2006	1	15505
Mount Alexander (S)	2011	0	483
Mount Alexander (S)	2011	1	15814
Mount Alexander (S)	2016	0	633
Mount Alexander (S)	2016	1	15944
Moyne (S)	2006	0	161
Moyne (S)	2006	1	14646
Moyne (S)	2011	0	239
Moyne (S)	2011	1	15133
Moyne (S)	2016	0	360
Moyne (S)	2016	1	14891
Murrindindi (S)	2006	0	402
Murrindindi (S)	2006	1	12418
Murrindindi (S)	2011	0	435
Murrindindi (S)	2011	1	11974
Murrindindi (S)	2016	0	441
Murrindindi (S)	2016	1	12155
Nillumbik (S)	2006	0	4448
Nillumbik (S)	2006	1	53458
Nillumbik (S)	2011	0	4892
Nillumbik (S)	2011	1	53890
Nillumbik (S)	2016	0	5638
Nillumbik (S)	2016	1	53160
Northern Grampians (S)	2006	0	201
Northern Grampians (S)	2006	1	11316
Northern Grampians (S)	2011	0	285
Northern Grampians (S)	2011	1	11080
Northern Grampians (S)	2016	0	366
Northern Grampians (S)	2016	1	10263
Port Phillip (C)	2006	0	14962
Port Phillip (C)	2006	1	59439
Port Phillip (C)	2011	0	17998
Port Phillip (C)	2011	1	66106
Port Phillip (C)	2016	0	20762
Port Phillip (C)	2016	1	69959
Pyrenees (S)	2006	0	127
Pyrenees (S)	2006	1	6079
Pyrenees (S)	2011	0	130
Pyrenees (S)	2011	1	6160
Pyrenees (S)	2016	0	153
Pyrenees (S)	2016	1	6125
Queenscliffe (B)	2006	0	85
Queenscliffe (B)	2006	1	2779
Queenscliffe (B)	2011	0	67
Queenscliffe (B)	2011	1	2791
Queenscliffe (B)	2016	0	82
Queenscliffe (B)	2016	1	2535
South Gippsland (S)	2006	0	842
South Gippsland (S)	2006	1	23795
South Gippsland (S)	2011	0	949
South Gippsland (S)	2011	1	25284
South Gippsland (S)	2016	0	974
South Gippsland (S)	2016	1	25510
Southern Grampians (S)	2006	0	281
Southern Grampians (S)	2006	1	15948
Southern Grampians (S)	2011	0	346
Southern Grampians (S)	2011	1	15524
Southern Grampians (S)	2016	0	429
Southern Grampians (S)	2016	1	14603
Stonnington (C)	2006	0	17539
Stonnington (C)	2006	1	64714
Stonnington (C)	2011	0	19882
Stonnington (C)	2011	1	67407
Stonnington (C)	2016	0	24070
Stonnington (C)	2016	1	72214
Strathbogie (S)	2006	0	219
Strathbogie (S)	2006	1	8685
Strathbogie (S)	2011	0	257
Strathbogie (S)	2011	1	8796
Strathbogie (S)	2016	0	348
Strathbogie (S)	2016	1	9106
Surf Coast (S)	2006	0	684
Surf Coast (S)	2006	1	20043
Surf Coast (S)	2011	0	888
Surf Coast (S)	2011	1	23936
Surf Coast (S)	2016	0	1178
Surf Coast (S)	2016	1	26567
Swan Hill (RC)	2006	0	1859
Swan Hill (RC)	2006	1	17688
Swan Hill (RC)	2011	0	2402
Swan Hill (RC)	2011	1	17006
Swan Hill (RC)	2016	0	2373
Swan Hill (RC)	2016	1	15707
Towong (S)	2006	0	101
Towong (S)	2006	1	5717
Towong (S)	2011	0	108
Towong (S)	2011	1	5661
Towong (S)	2016	0	154
Towong (S)	2016	1	5395
Wangaratta (RC)	2006	0	1247
Wangaratta (RC)	2006	1	24304
Wangaratta (RC)	2011	0	1244
Wangaratta (RC)	2011	1	24714
Wangaratta (RC)	2016	0	1309
Wangaratta (RC)	2016	1	24915
Warrnambool (C)	2006	0	622
Warrnambool (C)	2006	1	28551
Warrnambool (C)	2011	0	942
Warrnambool (C)	2011	1	29522
Warrnambool (C)	2016	0	1459
Warrnambool (C)	2016	1	29816
Wellington (S)	2006	0	1100
Wellington (S)	2006	1	36720
Wellington (S)	2011	0	1338
Wellington (S)	2011	1	37562
Wellington (S)	2016	0	1617
Wellington (S)	2016	1	37354
West Wimmera (S)	2006	0	65
West Wimmera (S)	2006	1	4305
West Wimmera (S)	2011	0	84
West Wimmera (S)	2011	1	4048
West Wimmera (S)	2016	0	76
West Wimmera (S)	2016	1	3605
Whitehorse (C)	2006	0	36491
Whitehorse (C)	2006	1	102972
Whitehorse (C)	2011	0	45816
Whitehorse (C)	2011	1	99954
Whitehorse (C)	2016	0	59511
Whitehorse (C)	2016	1	96242
Whittlesea (C)	2006	0	53608
Whittlesea (C)	2006	1	65973
Whittlesea (C)	2011	0	66153
Whittlesea (C)	2011	1	82653
Whittlesea (C)	2016	0	86978
Whittlesea (C)	2016	1	100992
Wodonga (C)	2006	0	1351
Wodonga (C)	2006	1	30750
Wodonga (C)	2011	0	1676
Wodonga (C)	2011	1	32710
Wodonga (C)	2016	0	2367
Wodonga (C)	2016	1	34578
Wyndham (C)	2006	0	23608
Wyndham (C)	2006	1	82667
Wyndham (C)	2011	0	48974
Wyndham (C)	2011	1	104166
Wyndham (C)	2016	0	89171
Wyndham (C)	2016	1	115337
Yarra (C)	2006	0	16160
Yarra (C)	2006	1	46401
Yarra (C)	2011	0	17274
Yarra (C)	2011	1	51367
Yarra (C)	2016	0	19320
Yarra (C)	2016	1	59569
Yarra Ranges (S)	2006	0	7382
Yarra Ranges (S)	2006	1	127222
Yarra Ranges (S)	2011	0	8696
Yarra Ranges (S)	2011	1	130873
Yarra Ranges (S)	2016	0	10708
Yarra Ranges (S)	2016	1	131551
Yarriambiack (S)	2006	0	114
Yarriambiack (S)	2006	1	7085
Yarriambiack (S)	2011	0	162
Yarriambiack (S)	2011	1	6609
Yarriambiack (S)	2016	0	163
Yarriambiack (S)	2016	1	5944
Unincorporated Vic	2006	0	62
Unincorporated Vic	2006	1	581
Unincorporated Vic	2011	0	77
Unincorporated Vic	2011	1	603
Unincorporated Vic	2016	0	108
Unincorporated Vic	2016	1	540
No usual address (Vic.)	2006	0	1058
No usual address (Vic.)	2006	1	4741
No usual address (Vic.)	2011	0	1416
No usual address (Vic.)	2011	1	5206
No usual address (Vic.)	2016	0	1393
No usual address (Vic.)	2016	1	4201
Migratory - Offshore - Shipping (Vic.)	2006	0	8
Migratory - Offshore - Shipping (Vic.)	2006	1	36
Migratory - Offshore - Shipping (Vic.)	2011	0	0
Migratory - Offshore - Shipping (Vic.)	2011	1	36
Migratory - Offshore - Shipping (Vic.)	2016	0	10
Migratory - Offshore - Shipping (Vic.)	2016	1	18
Aurukun (S)	2006	0	879
Aurukun (S)	2006	1	128
Aurukun (S)	2011	0	1182
Aurukun (S)	2011	1	95
Aurukun (S)	2016	0	1112
Aurukun (S)	2016	1	135
Balonne (S)	2006	0	64
Balonne (S)	2006	1	4327
Balonne (S)	2011	0	91
Balonne (S)	2011	1	4388
Balonne (S)	2016	0	131
Balonne (S)	2016	1	3900
Banana (S)	2006	0	327
Banana (S)	2006	1	13640
Banana (S)	2011	0	633
Banana (S)	2011	1	13221
Banana (S)	2016	0	706
Banana (S)	2016	1	12468
Barcaldine (R)	2006	0	30
Barcaldine (R)	2006	1	3073
Barcaldine (R)	2011	0	44
Barcaldine (R)	2011	1	3003
Barcaldine (R)	2016	0	67
Barcaldine (R)	2016	1	2602
Barcoo (S)	2006	0	4
Barcoo (S)	2006	1	350
Barcoo (S)	2011	0	3
Barcoo (S)	2011	1	331
Barcoo (S)	2016	0	0
Barcoo (S)	2016	1	250
Blackall-Tambo (R)	2006	0	9
Blackall-Tambo (R)	2006	1	1961
Blackall-Tambo (R)	2011	0	25
Blackall-Tambo (R)	2011	1	2094
Blackall-Tambo (R)	2016	0	30
Blackall-Tambo (R)	2016	1	1773
Boulia (S)	2006	0	14
Boulia (S)	2006	1	377
Boulia (S)	2011	0	49
Boulia (S)	2011	1	395
Boulia (S)	2016	0	12
Boulia (S)	2016	1	345
Brisbane (C)	2006	0	137060
Brisbane (C)	2006	1	763064
Brisbane (C)	2011	0	192586
Brisbane (C)	2011	1	798700
Brisbane (C)	2016	0	253221
Brisbane (C)	2016	1	812201
Bulloo (S)	2006	0	5
Bulloo (S)	2006	1	350
Bulloo (S)	2011	0	5
Bulloo (S)	2011	1	368
Bulloo (S)	2016	0	8
Bulloo (S)	2016	1	313
Bundaberg (R)	2006	0	2474
Bundaberg (R)	2006	1	76143
Bundaberg (R)	2011	0	3285
Bundaberg (R)	2011	1	82198
Bundaberg (R)	2016	0	4042
Bundaberg (R)	2016	1	82305
Burdekin (S)	2006	0	1194
Burdekin (S)	2006	1	15168
Burdekin (S)	2011	0	1188
Burdekin (S)	2011	1	15357
Burdekin (S)	2016	0	1070
Burdekin (S)	2016	1	14745
Burke (S)	2006	0	11
