LGA_NAME16	Year	medianAgeOfPersons
Whitsunday (R)	2011	38
Winton (S)	2011	43
Woorabinda (S)	2011	21
Wujal Wujal (S)	2011	29
Yarrabah (S)	2011	22
No usual address (Qld)	2011	44
Migratory - Offshore - Shipping (Qld)	2011	47
Adelaide (C)	2011	30
Adelaide Hills (DC)	2011	42
Alexandrina (DC)	2011	47
Anangu Pitjantjatjara (AC)	2011	26
Barossa (DC)	2011	41
Barunga West (DC)	2011	50
Berri and Barmera (DC)	2011	42
Burnside (C)	2011	44
Campbelltown (C) (SA)	2011	41
Ceduna (DC)	2011	38
Charles Sturt (C)	2011	41
Clare and Gilbert Valleys (DC)	2011	43
Cleve (DC)	2011	43
Coober Pedy (DC)	2011	45
Copper Coast (DC)	2011	47
Elliston (DC)	2011	43
Flinders Ranges (DC)	2011	45
Franklin Harbour (DC)	2011	44
Gawler (T)	2011	40
Goyder (DC)	2011	46
Grant (DC)	2011	41
Holdfast Bay (C)	2011	45
Kangaroo Island (DC)	2011	46
Karoonda East Murray (DC)	2011	46
Kimba (DC)	2011	43
Kingston (DC) (SA)	2011	47
Light (RegC)	2011	38
Lower Eyre Peninsula (DC)	2011	40
Loxton Waikerie (DC)	2011	43
Mallala (DC)	2011	40
Maralinga Tjarutja (AC)	2011	38
Marion (C)	2011	39
Mid Murray (DC)	2011	48
Mitcham (C)	2011	41
Mount Barker (DC)	2011	38
Mount Gambier (C)	2011	38
Mount Remarkable (DC)	2011	49
Murray Bridge (RC)	2011	40
Naracoorte and Lucindale (DC)	2011	40
Northern Areas (DC)	2011	46
Norwood Payneham St Peters (C)	2011	39
Onkaparinga (C)	2011	38
Orroroo/Carrieton (DC)	2011	49
Peterborough (DC)	2011	50
Playford (C)	2011	32
Port Adelaide Enfield (C)	2011	37
Port Augusta (C)	2011	38
Port Lincoln (C)	2011	38
Port Pirie City and Dists (M)	2011	41
Prospect (C)	2011	37
Renmark Paringa (DC)	2011	40
Robe (DC)	2011	44
Roxby Downs (M)	2011	29
Salisbury (C)	2011	35
Southern Mallee (DC)	2011	43
Streaky Bay (DC)	2011	43
Tatiara (DC)	2011	39
Tea Tree Gully (C)	2011	40
The Coorong (DC)	2011	44
Tumby Bay (DC)	2011	48
Unley (C)	2011	39
Victor Harbor (C)	2011	56
Wakefield (DC)	2011	42
Walkerville (M)	2011	44
Wattle Range (DC)	2011	42
West Torrens (C)	2011	38
Whyalla (C)	2011	38
Wudinna (DC)	2011	38
Yankalilla (DC)	2011	51
Yorke Peninsula (DC)	2011	52
Unincorporated SA	2011	39
No usual address (SA)	2011	39
Migratory - Offshore - Shipping (SA)	2011	31
Albany (C)	2011	41
Armadale (C)	2011	34
Ashburton (S)	2011	33
Augusta-Margaret River (S)	2011	39
Bassendean (T)	2011	38
Bayswater (C)	2011	37
Belmont (C)	2011	35
Beverley (S)	2011	51
Boddington (S)	2011	38
Boyup Brook (S)	2011	44
Bridgetown-Greenbushes (S)	2011	46
Brookton (S)	2011	45
Broome (S)	2011	32
Broomehill-Tambellup (S)	2011	37
Bruce Rock (S)	2011	42
Bunbury (C)	2011	39
Busselton (C)	2011	39
Cambridge (T)	2011	39
Canning (C)	2011	34
Capel (S)	2011	34
Carnamah (S)	2011	43
Carnarvon (S)	2011	38
Chapman Valley (S)	2011	41
Chittering (S)	2011	41
Claremont (T)	2011	41
Cockburn (C)	2011	34
Collie (S)	2011	39
Coolgardie (S)	2011	31
Coorow (S)	2011	47
Corrigin (S)	2011	47
Cottesloe (T)	2011	40
Cranbrook (S)	2011	41
Cuballing (S)	2011	44
Cue (S)	2011	51
Cunderdin (S)	2011	38
Dalwallinu (S)	2011	39
Dandaragan (S)	2011	43
Dardanup (S)	2011	35
Denmark (S)	2011	46
Derby-West Kimberley (S)	2011	30
Donnybrook-Balingup (S)	2011	44
Dowerin (S)	2011	42
Dumbleyung (S)	2011	40
Dundas (S)	2011	37
East Fremantle (T)	2011	42
East Pilbara (S)	2011	32
Esperance (S)	2011	38
Exmouth (S)	2011	38
Fremantle (C)	2011	41
Gingin (S)	2011	44
Gnowangerup (S)	2011	37
Goomalling (S)	2011	41
Gosnells (C)	2011	33
Greater Geraldton (C)	2011	36
Halls Creek (S)	2011	26
Harvey (S)	2011	37
Irwin (S)	2011	44
Jerramungup (S)	2011	40
Joondalup (C)	2011	38
Kalamunda (S)	2011	38
Kalgoorlie/Boulder (C)	2011	31
Karratha (C)	2011	32
Katanning (S)	2011	36
Kellerberrin (S)	2011	44
Kent (S)	2011	36
Kojonup (S)	2011	42
Kondinin (S)	2011	38
Koorda (S)	2011	41
Kulin (S)	2011	41
Kwinana (C)	2011	32
Lake Grace (S)	2011	40
Laverton (S)	2011	36
Leonora (S)	2011	32
Mandurah (C)	2011	42
Manjimup (S)	2011	42
Meekatharra (S)	2011	34
Melville (C)	2011	40
Menzies (S)	2011	36
Merredin (S)	2011	36
Mingenew (S)	2011	38
Moora (S)	2011	37
Morawa (S)	2011	36
Mosman Park (T)	2011	38
Mount Magnet (S)	2011	36
Mount Marshall (S)	2011	39
Mukinbudin (S)	2011	44
Mundaring (S)	2011	41
Murchison (S)	2011	39
Murray (S)	2011	43
Nannup (S)	2011	49
Narembeen (S)	2011	45
Narrogin (S)	2011	37
Nedlands (C)	2011	41
Ngaanyatjarraku (S)	2011	28
Northam (S)	2011	40
Northampton (S)	2011	46
Nungarin (S)	2011	45
Peppermint Grove (S)	2011	41
Perenjori (S)	2011	38
Perth (C)	2011	32
Pingelly (S)	2011	44
Plantagenet (S)	2011	43
Port Hedland (T)	2011	31
Quairading (S)	2011	48
Ravensthorpe (S)	2011	38
Rockingham (C)	2011	34
Sandstone (S)	2011	51
Serpentine-Jarrahdale (S)	2011	35
Shark Bay (S)	2011	45
South Perth (C)	2011	36
Stirling (C)	2011	36
Subiaco (C)	2011	35
Swan (C)	2011	34
Tammin (S)	2011	42
Three Springs (S)	2011	40
Toodyay (S)	2011	47
Trayning (S)	2011	46
Upper Gascoyne (S)	2011	30
Victoria Park (T)	2011	34
Victoria Plains (S)	2011	40
Vincent (C)	2011	34
Wagin (S)	2011	44
Wandering (S)	2011	43
Wanneroo (C)	2011	32
Waroona (S)	2011	41
West Arthur (S)	2011	44
Westonia (S)	2011	42
Wickepin (S)	2011	43
Williams (S)	2011	42
Wiluna (S)	2011	34
Wongan-Ballidu (S)	2011	37
Woodanilling (S)	2011	40
Wyalkatchem (S)	2011	46
Wyndham-East Kimberley (S)	2011	31
Yalgoo (S)	2011	33
Yilgarn (S)	2011	38
York (S)	2011	47
No usual address (WA)	2011	40
Migratory - Offshore - Shipping (WA)	2011	36
Break O'Day (M)	2011	50
Brighton (M)	2011	33
Burnie (C)	2011	38
Central Coast (M) (Tas.)	2011	43
Central Highlands (M) (Tas.)	2011	45
Circular Head (M)	2011	38
Clarence (C)	2011	41
Derwent Valley (M)	2011	40
Devonport (C)	2011	40
Dorset (M)	2011	44
Flinders (M) (Tas.)	2011	52
George Town (M)	2011	42
Glamorgan/Spring Bay (M)	2011	53
Glenorchy (C)	2011	39
Hobart (C)	2011	38
Huon Valley (M)	2011	42
Kentish (M)	2011	43
King Island (M)	2011	45
Kingborough (M)	2011	40
Latrobe (M) (Tas.)	2011	44
Launceston (C)	2011	38
Meander Valley (M)	2011	42
Northern Midlands (M)	2011	43
Sorell (M)	2011	40
Southern Midlands (M)	2011	42
Tasman (M)	2011	51
Waratah/Wynyard (M)	2011	43
West Coast (M)	2011	39
West Tamar (M)	2011	42
No usual address (Tas.)	2011	37
Migratory - Offshore - Shipping (Tas.)	2011	43
Alice Springs (T)	2011	33
Barkly (R)	2011	27
Belyuen (S)	2011	28
Central Desert (R)	2011	27
Coomalie (S)	2011	44
Darwin (C)	2011	34
East Arnhem (R)	2011	25
Katherine (T)	2011	31
Litchfield (M)	2011	36
MacDonnell (R)	2011	27
Palmerston (C)	2011	28
Roper Gulf (R)	2011	24
Tiwi Islands (R)	2011	27
Victoria Daly (R)	2011	26
Wagait (S)	2011	49
West Arnhem (R)	2011	26
West Daly (R)	2011	21
Unincorporated NT	2011	33
No usual address (NT)	2011	45
Migratory - Offshore - Shipping (NT)	2011	34
Unincorporated ACT	2011	34
No usual address (ACT)	2011	31
Migratory - Offshore - Shipping (ACT)	2011	0
Unincorp. Other Territories	2011	32
No usual address (OT)	2011	30
Migratory - Offshore - Shipping (OT)	2011	0
Albury (C)	2016	39
Armidale Regional (A)	2016	36
Ballina (A)	2016	48
Balranald (A)	2016	41
Bathurst Regional (A)	2016	37
Bega Valley (A)	2016	51
Bellingen (A)	2016	49
Berrigan (A)	2016	49
Blacktown (C)	2016	33
Bland (A)	2016	43
Blayney (A)	2016	42
Blue Mountains (C)	2016	44
Bogan (A)	2016	40
Botany Bay (C)	2016	35
Bourke (A)	2016	36
Brewarrina (A)	2016	34
Broken Hill (C)	2016	45
Burwood (A)	2016	33
Byron (A)	2016	44
Cabonne (A)	2016	43
Camden (A)	2016	33
Campbelltown (C) (NSW)	2016	34
Canada Bay (A)	2016	36
Canterbury-Bankstown (A)	2016	35
Carrathool (A)	2016	40
Central Coast (C) (NSW)	2016	42
Central Darling (A)	2016	39
Cessnock (C)	2016	38
Clarence Valley (A)	2016	49
Cobar (A)	2016	36
Coffs Harbour (C)	2016	44
Coolamon (A)	2016	44
Coonamble (A)	2016	43
Cowra (A)	2016	47
Cumberland (A)	2016	32
Dungog (A)	2016	45
Edward River (A)	2016	45
Eurobodalla (A)	2016	54
Fairfield (C)	2016	36
Federation (A)	2016	49
Forbes (A)	2016	42
Georges River (A)	2016	37
Gilgandra (A)	2016	45
Glen Innes Severn (A)	2016	47
Goulburn Mulwaree (A)	2016	42
Greater Hume Shire (A)	2016	44
Griffith (C)	2016	37
Gundagai (A)	2016	47
Gunnedah (A)	2016	40
Gwydir (A)	2016	48
Hawkesbury (C)	2016	38
Hay (A)	2016	46
Hilltops (A)	2016	44
Hornsby (A)	2016	40
Hunters Hill (A)	2016	43
Inner West (A)	2016	36
Inverell (A)	2016	42
Junee (A)	2016	40
Kempsey (A)	2016	47
Kiama (A)	2016	47
Ku-ring-gai (A)	2016	41
Kyogle (A)	2016	50
Lachlan (A)	2016	40
Lake Macquarie (C)	2016	42
Lane Cove (A)	2016	36
Leeton (A)	2016	40
Lismore (C)	2016	43
Lithgow (C)	2016	45
Liverpool (C)	2016	33
Liverpool Plains (A)	2016	45
Lockhart (A)	2016	46
Maitland (C)	2016	36
Mid-Coast (A)	2016	52
Mid-Western Regional (A)	2016	42
Moree Plains (A)	2016	38
Mosman (A)	2016	42
Murray River (A)	2016	49
Murrumbidgee (A)	2016	41
Muswellbrook (A)	2016	35
Nambucca (A)	2016	51
Narrabri (A)	2016	40
Narrandera (A)	2016	44
Narromine (A)	2016	42
Newcastle (C)	2016	37
North Sydney (A)	2016	37
Northern Beaches (A)	2016	40
Oberon (A)	2016	45
Orange (C)	2016	37
Parkes (A)	2016	41
Parramatta (C)	2016	34
Penrith (C)	2016	34
Port Macquarie-Hastings (A)	2016	48
Port Stephens (A)	2016	45
Queanbeyan-Palerang Regional (A)	2016	38
Randwick (C)	2016	34
Richmond Valley (A)	2016	44
Rockdale (C)	2016	35
Ryde (C)	2016	36
Shellharbour (C)	2016	39
Shoalhaven (C)	2016	48
Singleton (A)	2016	36
Snowy Monaro Regional (A)	2016	43
Snowy Valleys (A)	2016	45
Strathfield (A)	2016	32
Sutherland Shire (A)	2016	40
Sydney (C)	2016	32
Tamworth Regional (A)	2016	40
Temora (A)	2016	46
Tenterfield (A)	2016	53
The Hills Shire (A)	2016	38
Tweed (A)	2016	47
Upper Hunter Shire (A)	2016	41
Upper Lachlan Shire (A)	2016	48
Uralla (A)	2016	46
Wagga Wagga (C)	2016	35
Walcha (A)	2016	48
Walgett (A)	2016	43
Warren (A)	2016	43
Warrumbungle Shire (A)	2016	49
Waverley (A)	2016	35
Weddin (A)	2016	51
Wentworth (A)	2016	44
Western Plains Regional (A)	2016	37
Willoughby (C)	2016	37
Wingecarribee (A)	2016	47
Wollondilly (A)	2016	37
Wollongong (C)	2016	39
Woollahra (A)	2016	39
Yass Valley (A)	2016	42
Unincorporated NSW	2016	41
No usual address (NSW)	2016	39
Migratory - Offshore - Shipping (NSW)	2016	58
Alpine (S)	2016	49
Ararat (RC)	2016	46
Ballarat (C)	2016	38
Banyule (C)	2016	39
Bass Coast (S)	2016	50
Baw Baw (S)	2016	42
Bayside (C)	2016	44
Benalla (RC)	2016	49
Boroondara (C)	2016	38
Brimbank (C)	2016	35
Buloke (S)	2016	51
Campaspe (S)	2016	45
Cardinia (S)	2016	34
Casey (C)	2016	34
Central Goldfields (S)	2016	50
Colac-Otway (S)	2016	45
Corangamite (S)	2016	46
Darebin (C)	2016	36
East Gippsland (S)	2016	50
Frankston (C)	2016	38
Gannawarra (S)	2016	49
Glen Eira (C)	2016	37
Glenelg (S)	2016	47
Golden Plains (S)	2016	39
Greater Bendigo (C)	2016	39
Greater Dandenong (C)	2016	35
Greater Geelong (C)	2016	40
Greater Shepparton (C)	2016	39
Hepburn (S)	2016	50
Hindmarsh (S)	2016	50
Hobsons Bay (C)	2016	38
Horsham (RC)	2016	42
Hume (C)	2016	33
Indigo (S)	2016	46
Kingston (C) (Vic.)	2016	40
Knox (C)	2016	39
Latrobe (C) (Vic.)	2016	41
Loddon (S)	2016	51
Macedon Ranges (S)	2016	42
Manningham (C)	2016	43
Mansfield (S)	2016	48
Maribyrnong (C)	2016	33
Maroondah (C)	2016	38
Melbourne (C)	2016	28
Melton (C)	2016	33
Mildura (RC)	2016	40
Mitchell (S)	2016	37
Moira (S)	2016	47
Monash (C)	2016	37
Moonee Valley (C)	2016	38
Moorabool (S)	2016	40
Moreland (C)	2016	34
Mornington Peninsula (S)	2016	46
Mount Alexander (S)	2016	49
Moyne (S)	2016	43
Murrindindi (S)	2016	48
Nillumbik (S)	2016	41
Northern Grampians (S)	2016	48
Port Phillip (C)	2016	36
Pyrenees (S)	2016	50
Queenscliffe (B)	2016	60
South Gippsland (S)	2016	47
Southern Grampians (S)	2016	46
Stonnington (C)	2016	35
Strathbogie (S)	2016	52
Surf Coast (S)	2016	42
Swan Hill (RC)	2016	40
Towong (S)	2016	50
Wangaratta (RC)	2016	45
Warrnambool (C)	2016	40
Wellington (S)	2016	43
West Wimmera (S)	2016	48
Whitehorse (C)	2016	38
Whittlesea (C)	2016	34
Wodonga (C)	2016	36
Wyndham (C)	2016	32
Yarra (C)	2016	33
Yarra Ranges (S)	2016	40
Yarriambiack (S)	2016	50
Unincorporated Vic	2016	31
No usual address (Vic.)	2016	34
Migratory - Offshore - Shipping (Vic.)	2016	49
Aurukun (S)	2016	28
Balonne (S)	2016	40
Banana (S)	2016	37
Barcaldine (R)	2016	42
Barcoo (S)	2016	46
Blackall-Tambo (R)	2016	47
Boulia (S)	2016	34
Brisbane (C)	2016	35
Bulloo (S)	2016	40
Bundaberg (R)	2016	45
Burdekin (S)	2016	44
Burke (S)	2016	38
Cairns (R)	2016	37
Carpentaria (S)	2016	38
Cassowary Coast (R)	2016	44
Central Highlands (R) (Qld)	2016	33
Charters Towers (R)	2016	40
Cherbourg (S)	2016	21
Cloncurry (S)	2016	34
Cook (S)	2016	41
Croydon (S)	2016	40
Diamantina (S)	2016	30
Doomadgee (S)	2016	21
Douglas (S)	2016	43
Etheridge (S)	2016	45
Flinders (S) (Qld)	2016	44
Fraser Coast (R)	2016	48
Gladstone (R)	2016	35
Gold Coast (C)	2016	38
Goondiwindi (R)	2016	40
Gympie (R)	2016	46
Hinchinbrook (S)	2016	50
Hope Vale (S)	2016	26
Ipswich (C)	2016	32
Isaac (R)	2016	32
Kowanyama (S)	2016	29
Livingstone (S)	2016	42
Lockhart River (S)	2016	26
Lockyer Valley (R)	2016	39
Logan (C)	2016	34
Longreach (R)	2016	40
Mackay (R)	2016	37
McKinlay (S)	2016	39
Mapoon (S)	2016	27
Maranoa (R)	2016	36
Mareeba (S)	2016	43
Moreton Bay (R)	2016	38
Mornington (S)	2016	27
Mount Isa (C)	2016	31
Murweh (S)	2016	39
Napranum (S)	2016	25
Noosa (S)	2016	48
North Burnett (R)	2016	46
Northern Peninsula Area (R)	2016	22
Palm Island (S)	2016	24
Paroo (S)	2016	46
Pormpuraaw (S)	2016	31
Quilpie (S)	2016	41
Redland (C)	2016	41
Richmond (S)	2016	35
Rockhampton (R)	2016	36
Scenic Rim (R)	2016	44
Somerset (R)	2016	43
South Burnett (R)	2016	45
Southern Downs (R)	2016	45
Sunshine Coast (R)	2016	43
Tablelands (R)	2016	47
Toowoomba (R)	2016	38
Torres (S)	2016	28
Torres Strait Island (R)	2016	24
Townsville (C)	2016	34
Weipa (T)	2016	31
Western Downs (R)	2016	37
Whitsunday (R)	2016	38
Winton (S)	2016	46
Woorabinda (S)	2016	23
Wujal Wujal (S)	2016	30
Yarrabah (S)	2016	23
No usual address (Qld)	2016	45
Migratory - Offshore - Shipping (Qld)	2016	56
Adelaide (C)	2016	30
Adelaide Hills (DC)	2016	44
Alexandrina (DC)	2016	51
Anangu Pitjantjatjara (AC)	2016	28
Barossa (DC)	2016	44
Barunga West (DC)	2016	55
Berri and Barmera (DC)	2016	45
Burnside (C)	2016	44
Campbelltown (C) (SA)	2016	41
Ceduna (DC)	2016	39
Charles Sturt (C)	2016	41
Clare and Gilbert Valleys (DC)	2016	47
Cleve (DC)	2016	44
Coober Pedy (DC)	2016	46
Copper Coast (DC)	2016	50
Elliston (DC)	2016	46
Flinders Ranges (DC)	2016	50
Franklin Harbour (DC)	2016	49
Gawler (T)	2016	41
Goyder (DC)	2016	48
Grant (DC)	2016	44
Holdfast Bay (C)	2016	46
Kangaroo Island (DC)	2016	49
Karoonda East Murray (DC)	2016	48
Kimba (DC)	2016	40
Kingston (DC) (SA)	2016	50
Light (RegC)	2016	39
Lower Eyre Peninsula (DC)	2016	43
Loxton Waikerie (DC)	2016	46
Mallala (DC)	2016	42
Maralinga Tjarutja (AC)	2016	35
Marion (C)	2016	39
Mid Murray (DC)	2016	51
Mitcham (C)	2016	42
Mount Barker (DC)	2016	39
Mount Gambier (C)	2016	40
Mount Remarkable (DC)	2016	53
Murray Bridge (RC)	2016	41
Naracoorte and Lucindale (DC)	2016	41
Northern Areas (DC)	2016	48
Norwood Payneham St Peters (C)	2016	40
Onkaparinga (C)	2016	40
Orroroo/Carrieton (DC)	2016	52
Peterborough (DC)	2016	54
Playford (C)	2016	32
Port Adelaide Enfield (C)	2016	37
Port Augusta (C)	2016	39
Port Lincoln (C)	2016	40
Port Pirie City and Dists (M)	2016	44
Prospect (C)	2016	37
Renmark Paringa (DC)	2016	44
Robe (DC)	2016	50
Roxby Downs (M)	2016	30
Salisbury (C)	2016	35
Southern Mallee (DC)	2016	46
Streaky Bay (DC)	2016	45
Tatiara (DC)	2016	42
Tea Tree Gully (C)	2016	41
The Coorong (DC)	2016	46
Tumby Bay (DC)	2016	50
Unley (C)	2016	41
Victor Harbor (C)	2016	58
Wakefield (DC)	2016	44
Walkerville (M)	2016	44
Wattle Range (DC)	2016	46
West Torrens (C)	2016	38
Whyalla (C)	2016	40
Wudinna (DC)	2016	42
Yankalilla (DC)	2016	54
Yorke Peninsula (DC)	2016	55
Unincorporated SA	2016	43
No usual address (SA)	2016	40
Migratory - Offshore - Shipping (SA)	2016	45
Albany (C)	2016	43
Armadale (C)	2016	33
Ashburton (S)	2016	36
Augusta-Margaret River (S)	2016	39
Bassendean (T)	2016	39
Bayswater (C)	2016	37
Belmont (C)	2016	34
Beverley (S)	2016	53
Boddington (S)	2016	39
Boyup Brook (S)	2016	49
Bridgetown-Greenbushes (S)	2016	49
Brookton (S)	2016	48
Broome (S)	2016	33
Broomehill-Tambellup (S)	2016	39
Bruce Rock (S)	2016	47
Bunbury (C)	2016	41
Busselton (C)	2016	42
Cambridge (T)	2016	40
Canning (C)	2016	34
Capel (S)	2016	36
Carnamah (S)	2016	46
Carnarvon (S)	2016	39
Chapman Valley (S)	2016	43
Chittering (S)	2016	43
Claremont (T)	2016	43
Cockburn (C)	2016	35
Collie (S)	2016	41
Coolgardie (S)	2016	33
Coorow (S)	2016	52
Corrigin (S)	2016	44
Cottesloe (T)	2016	42
Cranbrook (S)	2016	46
Cuballing (S)	2016	47
Cue (S)	2016	52
Cunderdin (S)	2016	37
Dalwallinu (S)	2016	38
Dandaragan (S)	2016	48
Dardanup (S)	2016	37
Denmark (S)	2016	49
Derby-West Kimberley (S)	2016	30
Donnybrook-Balingup (S)	2016	47
Dowerin (S)	2016	43
Dumbleyung (S)	2016	42
Dundas (S)	2016	47
East Fremantle (T)	2016	43
East Pilbara (S)	2016	34
Esperance (S)	2016	40
Exmouth (S)	2016	37
Fremantle (C)	2016	42
Gingin (S)	2016	47
Gnowangerup (S)	2016	40
Goomalling (S)	2016	45
Gosnells (C)	2016	34
Greater Geraldton (C)	2016	38
Halls Creek (S)	2016	28
Harvey (S)	2016	38
Irwin (S)	2016	49
Jerramungup (S)	2016	41
Joondalup (C)	2016	40
Kalamunda (S)	2016	39
Kalgoorlie/Boulder (C)	2016	33
Karratha (C)	2016	31
Katanning (S)	2016	40
Kellerberrin (S)	2016	48
Kent (S)	2016	39
Kojonup (S)	2016	44
Kondinin (S)	2016	43
Koorda (S)	2016	47
Kulin (S)	2016	44
Kwinana (C)	2016	32
Lake Grace (S)	2016	40
Laverton (S)	2016	36
Leonora (S)	2016	35
Mandurah (C)	2016	43
Manjimup (S)	2016	45
Meekatharra (S)	2016	35
Melville (C)	2016	41
Menzies (S)	2016	38
Merredin (S)	2016	38
Mingenew (S)	2016	42
Moora (S)	2016	41
Morawa (S)	2016	38
Mosman Park (T)	2016	40
Mount Magnet (S)	2016	42
Mount Marshall (S)	2016	42
Mukinbudin (S)	2016	43
Mundaring (S)	2016	42
Murchison (S)	2016	37
Murray (S)	2016	44
Nannup (S)	2016	53
Narembeen (S)	2016	46
Narrogin (S)	2016	40
Nedlands (C)	2016	41
Ngaanyatjarraku (S)	2016	29
Northam (S)	2016	42
Northampton (S)	2016	51
Nungarin (S)	2016	44
Peppermint Grove (S)	2016	39
Perenjori (S)	2016	42
Perth (C)	2016	32
Pingelly (S)	2016	50
Plantagenet (S)	2016	46
Port Hedland (T)	2016	31
Quairading (S)	2016	52
Ravensthorpe (S)	2016	45
Rockingham (C)	2016	34
Sandstone (S)	2016	58
Serpentine-Jarrahdale (S)	2016	32
Shark Bay (S)	2016	43
South Perth (C)	2016	37
Stirling (C)	2016	36
Subiaco (C)	2016	36
Swan (C)	2016	34
Tammin (S)	2016	38
Three Springs (S)	2016	40
Toodyay (S)	2016	51
Trayning (S)	2016	50
Upper Gascoyne (S)	2016	26
Victoria Park (T)	2016	34
Victoria Plains (S)	2016	45
Vincent (C)	2016	34
Wagin (S)	2016	49
Wandering (S)	2016	47
Wanneroo (C)	2016	33
Waroona (S)	2016	45
West Arthur (S)	2016	47
Westonia (S)	2016	42
Wickepin (S)	2016	46
Williams (S)	2016	43
Wiluna (S)	2016	35
Wongan-Ballidu (S)	2016	41
Woodanilling (S)	2016	43
Wyalkatchem (S)	2016	53
Wyndham-East Kimberley (S)	2016	33
Yalgoo (S)	2016	39
Yilgarn (S)	2016	45
York (S)	2016	51
No usual address (WA)	2016	41
Migratory - Offshore - Shipping (WA)	2016	40
Break O'Day (M)	2016	54
Brighton (M)	2016	34
Burnie (C)	2016	41
Central Coast (M) (Tas.)	2016	46
Central Highlands (M) (Tas.)	2016	50
Circular Head (M)	2016	41
Clarence (C)	2016	43
Derwent Valley (M)	2016	43
Devonport (C)	2016	43
Dorset (M)	2016	48
Flinders (M) (Tas.)	2016	53
George Town (M)	2016	46
Glamorgan/Spring Bay (M)	2016	56
Glenorchy (C)	2016	39
Hobart (C)	2016	39
Huon Valley (M)	2016	45
Kentish (M)	2016	47
King Island (M)	2016	47
Kingborough (M)	2016	42
Latrobe (M) (Tas.)	2016	47
Launceston (C)	2016	39
Meander Valley (M)	2016	45
Northern Midlands (M)	2016	46
Sorell (M)	2016	42
Southern Midlands (M)	2016	44
Tasman (M)	2016	55
Waratah/Wynyard (M)	2016	46
West Coast (M)	2016	44
West Tamar (M)	2016	45
No usual address (Tas.)	2016	38
Migratory - Offshore - Shipping (Tas.)	2016	41
Alice Springs (T)	2016	35
Barkly (R)	2016	28
Belyuen (S)	2016	30
Central Desert (R)	2016	28
Coomalie (S)	2016	46
Darwin (C)	2016	34
East Arnhem (R)	2016	25
Katherine (T)	2016	33
Litchfield (M)	2016	37
MacDonnell (R)	2016	29
Palmerston (C)	2016	30
Roper Gulf (R)	2016	26
Tiwi Islands (R)	2016	30
Victoria Daly (R)	2016	27
Wagait (S)	2016	48
West Arnhem (R)	2016	28
West Daly (R)	2016	24
Unincorporated NT	2016	34
No usual address (NT)	2016	44
Migratory - Offshore - Shipping (NT)	2016	36
Unincorporated ACT	2016	35
No usual address (ACT)	2016	36
Migratory - Offshore - Shipping (ACT)	2016	0
Unincorp. Other Territories	2016	42
No usual address (OT)	2016	42
Migratory - Offshore - Shipping (OT)	2016	39
