SA4_NAME16	Year	medianMortgageRepaymentMonthly
Capital Region	2006	1200
Central Coast	2006	1500
Central West	2006	1088
Coffs Harbour - Grafton	2006	1083
Far West and Orana	2006	900
Hunter Valley exc Newcastle	2006	1300
Illawarra	2006	1517
Mid North Coast	2006	1083
Murray	2006	1030
New England and North West	2006	975
Newcastle and Lake Macquarie	2006	1300
Richmond - Tweed	2006	1127
Riverina	2006	1083
Southern Highlands and Shoalhaven	2006	1300
Sydney - Baulkham Hills and Hawkesbury	2006	2000
Sydney - Blacktown	2006	1716
Sydney - City and Inner South	2006	2015
Sydney - Eastern Suburbs	2006	2210
Sydney - Inner South West	2006	1733
Sydney - Inner West	2006	2024
Sydney - North Sydney and Hornsby	2006	2200
Sydney - Northern Beaches	2006	2167
Sydney - Outer South West	2006	1600
Sydney - Outer West and Blue Mountains	2006	1517
Sydney - Parramatta	2006	1700
Sydney - Ryde	2006	2000
Sydney - South West	2006	1625
Sydney - Sutherland	2006	1950
Migratory - Offshore - Shipping (NSW)	2006	0
No usual address (NSW)	2006	0
Ballarat	2006	982
Bendigo	2006	975
Geelong	2006	1114
Hume	2006	1000
Latrobe - Gippsland	2006	900
Melbourne - Inner	2006	1650
Melbourne - Inner East	2006	1625
Melbourne - Inner South	2006	1600
Melbourne - North East	2006	1300
Melbourne - North West	2006	1300
Melbourne - Outer East	2006	1274
Melbourne - South East	2006	1300
Melbourne - West	2006	1300
Mornington Peninsula	2006	1213
North West	2006	867
Shepparton	2006	1040
Warrnambool and South West	2006	919
Migratory - Offshore - Shipping (Vic.)	2006	0
No usual address (Vic.)	2006	0
Brisbane - East	2006	1400
Brisbane - North	2006	1300
Brisbane - South	2006	1400
Brisbane - West	2006	1504
Brisbane Inner City	2006	1720
Cairns	2006	1170
Darling Downs - Maranoa	2006	884
Central Queensland	2006	1083
Gold Coast	2006	1500
Ipswich	2006	1112
Logan - Beaudesert	2006	1211
Mackay - Isaac - Whitsunday	2006	1300
Moreton Bay - North	2006	1213
Moreton Bay - South	2006	1335
Queensland - Outback	2006	900
Sunshine Coast	2006	1300
Toowoomba	2006	1083
Townsville	2006	1148
Wide Bay	2006	910
Migratory - Offshore - Shipping (Qld)	2006	0
No usual address (Qld)	2006	0
Adelaide - Central and Hills	2006	1270
Adelaide - North	2006	1000
Adelaide - South	2006	1083
Adelaide - West	2006	1083
Barossa - Yorke - Mid North	2006	780
South Australia - Outback	2006	800
South Australia - South East	2006	867
Migratory - Offshore - Shipping (SA)	2006	0
No usual address (SA)	2006	0
Bunbury	2006	1100
Mandurah	2006	1200
Perth - Inner	2006	1733
Perth - North East	2006	1200
Perth - North West	2006	1300
Perth - South East	2006	1200
Perth - South West	2006	1300
Western Australia - Wheat Belt	2006	867
Western Australia - Outback (North)	2006	1250
Western Australia - Outback (South)	2006	1083
Migratory - Offshore - Shipping (WA)	2006	0
No usual address (WA)	2006	0
Hobart	2006	975
Launceston and North East	2006	867
South East	2006	758
West and North West	2006	800
Migratory - Offshore - Shipping (Tas.)	2006	0
No usual address (Tas.)	2006	0
Darwin	2006	1308
Northern Territory - Outback	2006	1200
Migratory - Offshore - Shipping (NT)	2006	0
No usual address (NT)	2006	0
Australian Capital Territory	2006	1500
Migratory - Offshore - Shipping (ACT)	2006	0
No usual address (ACT)	2006	0
Other Territories	2006	1083
Migratory - Offshore - Shipping (OT)	2006	0
No usual address (OT)	2006	0
Capital Region	2011	1608
Central Coast	2011	1820
Central West	2011	1456
Coffs Harbour - Grafton	2011	1452
Far West and Orana	2011	1200
Hunter Valley exc Newcastle	2011	1733
Illawarra	2011	1950
Mid North Coast	2011	1417
Murray	2011	1300
New England and North West	2011	1300
Newcastle and Lake Macquarie	2011	1733
Richmond - Tweed	2011	1600
Riverina	2011	1387
Southern Highlands and Shoalhaven	2011	1603
Sydney - Baulkham Hills and Hawkesbury	2011	2500
Sydney - Blacktown	2011	2100
Sydney - City and Inner South	2011	2500
Sydney - Eastern Suburbs	2011	2817
Sydney - Inner South West	2011	2127
Sydney - Inner West	2011	2500
Sydney - North Sydney and Hornsby	2011	2726
Sydney - Northern Beaches	2011	2800
Sydney - Outer South West	2011	1993
Sydney - Outer West and Blue Mountains	2011	1950
Sydney - Parramatta	2011	2037
Sydney - Ryde	2011	2400
Sydney - South West	2011	2000
Sydney - Sutherland	2011	2400
Migratory - Offshore - Shipping (NSW)	2011	0
No usual address (NSW)	2011	0
Ballarat	2011	1300
Bendigo	2011	1300
Geelong	2011	1517
Hume	2011	1300
Latrobe - Gippsland	2011	1300
Melbourne - Inner	2011	2167
Melbourne - Inner East	2011	2167
Melbourne - Inner South	2011	2160
Melbourne - North East	2011	1863
Melbourne - North West	2011	1733
Melbourne - Outer East	2011	1733
Melbourne - South East	2011	1733
Melbourne - West	2011	1733
Mornington Peninsula	2011	1700
North West	2011	1083
Shepparton	2011	1300
Warrnambool and South West	2011	1258
Migratory - Offshore - Shipping (Vic.)	2011	0
No usual address (Vic.)	2011	0
Brisbane - East	2011	2032
Brisbane - North	2011	2000
Brisbane - South	2011	2000
Brisbane - West	2011	2167
Brisbane Inner City	2011	2340
Cairns	2011	1664
Darling Downs - Maranoa	2011	1300
Central Queensland	2011	1777
Gold Coast	2011	2058
Ipswich	2011	1733
Logan - Beaudesert	2011	1800
Mackay - Isaac - Whitsunday	2011	2015
Moreton Bay - North	2011	1800
Moreton Bay - South	2011	2000
Queensland - Outback	2011	1500
Sunshine Coast	2011	1863
Toowoomba	2011	1517
Townsville	2011	1733
Wide Bay	2011	1322
Migratory - Offshore - Shipping (Qld)	2011	0
No usual address (Qld)	2011	0
Adelaide - Central and Hills	2011	1733
Adelaide - North	2011	1471
Adelaide - South	2011	1532
Adelaide - West	2011	1625
Barossa - Yorke - Mid North	2011	1124
South Australia - Outback	2011	1257
South Australia - South East	2011	1170
Migratory - Offshore - Shipping (SA)	2011	0
No usual address (SA)	2011	0
Bunbury	2011	1733
Mandurah	2011	1950
Perth - Inner	2011	2420
Perth - North East	2011	1950
Perth - North West	2011	2000
Perth - South East	2011	1950
Perth - South West	2011	2000
Western Australia - Wheat Belt	2011	1300
Western Australia - Outback (North)	2011	2383
Western Australia - Outback (South)	2011	1710
Migratory - Offshore - Shipping (WA)	2011	0
No usual address (WA)	2011	0
Hobart	2011	1430
Launceston and North East	2011	1300
South East	2011	1127
West and North West	2011	1192
Migratory - Offshore - Shipping (Tas.)	2011	0
No usual address (Tas.)	2011	0
Darwin	2011	2167
Northern Territory - Outback	2011	1782
Migratory - Offshore - Shipping (NT)	2011	0
No usual address (NT)	2011	0
Australian Capital Territory	2011	2167
Migratory - Offshore - Shipping (ACT)	2011	0
No usual address (ACT)	2011	0
Other Territories	2011	1300
Migratory - Offshore - Shipping (OT)	2011	0
No usual address (OT)	2011	0
Capital Region	2016	1625
Central Coast	2016	1750
Central West	2016	1500
Coffs Harbour - Grafton	2016	1500
Far West and Orana	2016	1278
Hunter Valley exc Newcastle	2016	1733
Illawarra	2016	1950
Mid North Coast	2016	1450
Murray	2016	1300
New England and North West	2016	1309
Newcastle and Lake Macquarie	2016	1733
Richmond - Tweed	2016	1600
Riverina	2016	1365
Southern Highlands and Shoalhaven	2016	1625
Sydney - Baulkham Hills and Hawkesbury	2016	2500
Sydney - Blacktown	2016	2150
Sydney - City and Inner South	2016	2500
Sydney - Eastern Suburbs	2016	2900
Sydney - Inner South West	2016	2167
Sydney - Inner West	2016	2500
Sydney - North Sydney and Hornsby	2016	2600
Sydney - Northern Beaches	2016	2800
Sydney - Outer South West	2016	2000
Sydney - Outer West and Blue Mountains	2016	1950
Sydney - Parramatta	2016	2037
Sydney - Ryde	2016	2383
Sydney - South West	2016	2000
Sydney - Sutherland	2016	2427
Migratory - Offshore - Shipping (NSW)	2016	0
No usual address (NSW)	2016	0
Ballarat	2016	1300
Bendigo	2016	1382
Geelong	2016	1560
Hume	2016	1300
Latrobe - Gippsland	2016	1300
Melbourne - Inner	2016	2100
Melbourne - Inner East	2016	2167
Melbourne - Inner South	2016	2167
Melbourne - North East	2016	1829
Melbourne - North West	2016	1733
Melbourne - Outer East	2016	1768
Melbourne - South East	2016	1733
Melbourne - West	2016	1733
Mornington Peninsula	2016	1700
North West	2016	1083
Shepparton	2016	1300
Warrnambool and South West	2016	1300
Migratory - Offshore - Shipping (Vic.)	2016	0
No usual address (Vic.)	2016	0
Brisbane - East	2016	2000
Brisbane - North	2016	1950
Brisbane - South	2016	2000
Brisbane - West	2016	2134
Brisbane Inner City	2016	2200
Cairns	2016	1597
Darling Downs - Maranoa	2016	1300
Central Queensland	2016	1733
Gold Coast	2016	1950
Ipswich	2016	1603
Logan - Beaudesert	2016	1733
Mackay - Isaac - Whitsunday	2016	1876
Moreton Bay - North	2016	1719
Moreton Bay - South	2016	1928
Queensland - Outback	2016	1500
Sunshine Coast	2016	1777
Toowoomba	2016	1560
Townsville	2016	1668
Wide Bay	2016	1300
Migratory - Offshore - Shipping (Qld)	2016	0
No usual address (Qld)	2016	0
Adelaide - Central and Hills	2016	1734
Adelaide - North	2016	1413
Adelaide - South	2016	1517
Adelaide - West	2016	1625
Barossa - Yorke - Mid North	2016	1170
South Australia - Outback	2016	1250
South Australia - South East	2016	1127
Migratory - Offshore - Shipping (SA)	2016	0
No usual address (SA)	2016	0
Bunbury	2016	1733
Mandurah	2016	1826
Perth - Inner	2016	2448
Perth - North East	2016	2000
Perth - North West	2016	2037
Perth - South East	2016	1950
Perth - South West	2016	2000
Western Australia - Wheat Belt	2016	1400
Western Australia - Outback (North)	2016	2443
Western Australia - Outback (South)	2016	1722
Migratory - Offshore - Shipping (WA)	2016	0
No usual address (WA)	2016	0
Hobart	2016	1402
Launceston and North East	2016	1260
South East	2016	1192
West and North West	2016	1165
Migratory - Offshore - Shipping (Tas.)	2016	0
No usual address (Tas.)	2016	0
Darwin	2016	2200
Northern Territory - Outback	2016	1816
Migratory - Offshore - Shipping (NT)	2016	0
No usual address (NT)	2016	0
Australian Capital Territory	2016	2058
Migratory - Offshore - Shipping (ACT)	2016	0
No usual address (ACT)	2016	0
Other Territories	2016	1400
Migratory - Offshore - Shipping (OT)	2016	0
No usual address (OT)	2016	0
