STE_NAME16	Year	DwellingStructure	TenureType	occupied_private_dwellings
South Australia	2006	Flat/apartment	Rented Landlord type not stated	763
South Australia	2006	Flat/apartment	Rented Other landlord type	1151
South Australia	2006	Flat/apartment	Rented Person not in same household	9045
South Australia	2006	Flat/apartment	Rented Real estate agent	12850
South Australia	2006	Flat/apartment	Rented State or territory housing authority	7696
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.		5181
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2695
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	12196
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	11500
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1782
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	677
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	764
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	5959
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	8386
South Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	15598
South Australia	2006	Separate house		24009
South Australia	2006	Separate house	Other tenure type	2935
South Australia	2006	Separate house	Owned outright	182202
South Australia	2006	Separate house	Owned with a mortgage	185147
South Australia	2006	Separate house	Rented Housing co operative community church group	2573
South Australia	2006	Separate house	Rented Landlord type not stated	3365
South Australia	2006	Separate house	Rented Other landlord type	5533
South Australia	2006	Separate house	Rented Person not in same household	30504
South Australia	2006	Separate house	Rented Real estate agent	28749
South Australia	2006	Separate house	Rented State or territory housing authority	17126
South Australia	2011			79
South Australia	2011		Other tenure type	47
South Australia	2011		Owned outright	198
South Australia	2011		Owned with a mortgage	101
South Australia	2011		Rented Housing co operative community church group	7
South Australia	2011		Rented Landlord type not stated	18
South Australia	2011		Rented Other landlord type	48
South Australia	2011		Rented Person not in same household	66
South Australia	2011		Rented Real estate agent	33
South Australia	2011		Rented State or territory housing authority	10
South Australia	2011	(Other)		1112
South Australia	2011	(Other)	Other tenure type	129
South Australia	2011	(Other)	Owned outright	2433
South Australia	2011	(Other)	Owned with a mortgage	396
South Australia	2011	(Other)	Rented Housing co operative community church group	20
South Australia	2011	(Other)	Rented Landlord type not stated	69
South Australia	2011	(Other)	Rented Other landlord type	880
South Australia	2011	(Other)	Rented Person not in same household	342
South Australia	2011	(Other)	Rented Real estate agent	111
South Australia	2011	(Other)	Rented State or territory housing authority	16
South Australia	2011	Flat/apartment		5166
South Australia	2011	Flat/apartment	Other tenure type	1868
South Australia	2011	Flat/apartment	Owned outright	7849
South Australia	2011	Flat/apartment	Owned with a mortgage	7691
South Australia	2011	Flat/apartment	Rented Housing co operative community church group	2263
South Australia	2011	Flat/apartment	Rented Landlord type not stated	605
South Australia	2011	Flat/apartment	Rented Other landlord type	1375
South Australia	2011	Flat/apartment	Rented Person not in same household	8841
South Australia	2011	Flat/apartment	Rented Real estate agent	15554
South Australia	2011	Flat/apartment	Rented State or territory housing authority	7809
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.		4721
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	3309
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	12803
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	13389
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1914
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	545
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	948
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	6470
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	11562
South Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	13766
South Australia	2011	Separate house		22006
South Australia	2011	Separate house	Other tenure type	3934
South Australia	2011	Separate house	Owned outright	182769
South Australia	2011	Separate house	Owned with a mortgage	197902
South Australia	2011	Separate house	Rented Housing co operative community church group	2709
South Australia	2011	Separate house	Rented Landlord type not stated	2889
South Australia	2011	Separate house	Rented Other landlord type	6177
South Australia	2011	Separate house	Rented Person not in same household	33645
South Australia	2011	Separate house	Rented Real estate agent	40649
South Australia	2011	Separate house	Rented State or territory housing authority	16633
South Australia	2016			453
South Australia	2016		Other tenure type	116
South Australia	2016		Owned outright	745
South Australia	2016		Owned with a mortgage	716
South Australia	2016		Rented Housing co operative community church group	22
South Australia	2016		Rented Landlord type not stated	46
South Australia	2016		Rented Other landlord type	180
South Australia	2016		Rented Person not in same household	307
South Australia	2016		Rented Real estate agent	284
South Australia	2016		Rented State or territory housing authority	72
South Australia	2016	(Other)		1719
South Australia	2016	(Other)	Other tenure type	162
South Australia	2016	(Other)	Owned outright	2604
South Australia	2016	(Other)	Owned with a mortgage	533
South Australia	2016	(Other)	Rented Housing co operative community church group	12
South Australia	2016	(Other)	Rented Landlord type not stated	60
South Australia	2016	(Other)	Rented Other landlord type	832
South Australia	2016	(Other)	Rented Person not in same household	333
South Australia	2016	(Other)	Rented Real estate agent	180
South Australia	2016	(Other)	Rented State or territory housing authority	23
South Australia	2016	Flat/apartment		4447
South Australia	2016	Flat/apartment	Other tenure type	1399
South Australia	2016	Flat/apartment	Owned outright	5607
South Australia	2016	Flat/apartment	Owned with a mortgage	5478
South Australia	2016	Flat/apartment	Rented Housing co operative community church group	1374
South Australia	2016	Flat/apartment	Rented Landlord type not stated	325
South Australia	2016	Flat/apartment	Rented Other landlord type	845
South Australia	2016	Flat/apartment	Rented Person not in same household	6176
South Australia	2016	Flat/apartment	Rented Real estate agent	15360
South Australia	2016	Flat/apartment	Rented State or territory housing authority	4770
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.		8276
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	4333
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	18356
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	20192
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	2953
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	671
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	1128
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	8825
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	20460
South Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	15476
South Australia	2016	Separate house		27050
South Australia	2016	Separate house	Other tenure type	4250
South Australia	2016	Separate house	Owned outright	181448
South Australia	2016	Separate house	Owned with a mortgage	200115
South Australia	2016	Separate house	Rented Housing co operative community church group	2522
South Australia	2016	Separate house	Rented Landlord type not stated	2515
South Australia	2016	Separate house	Rented Other landlord type	5528
South Australia	2016	Separate house	Rented Person not in same household	33110
South Australia	2016	Separate house	Rented Real estate agent	47544
South Australia	2016	Separate house	Rented State or territory housing authority	13613
Western Australia	2006			88
Western Australia	2006		Other tenure type	31
Western Australia	2006		Owned outright	128
Western Australia	2006		Owned with a mortgage	78
Western Australia	2006		Rented Housing co operative community church group	9
Western Australia	2006		Rented Landlord type not stated	8
Western Australia	2006		Rented Other landlord type	17
Western Australia	2006		Rented Person not in same household	35
Western Australia	2006		Rented Real estate agent	43
Western Australia	2006		Rented State or territory housing authority	10
Western Australia	2006	(Other)		3471
Western Australia	2006	(Other)	Other tenure type	342
Western Australia	2006	(Other)	Owned outright	9496
Western Australia	2006	(Other)	Owned with a mortgage	1000
Western Australia	2006	(Other)	Rented Housing co operative community church group	108
Western Australia	2006	(Other)	Rented Landlord type not stated	253
Western Australia	2006	(Other)	Rented Other landlord type	2417
Western Australia	2006	(Other)	Rented Person not in same household	564
Western Australia	2006	(Other)	Rented Real estate agent	202
Western Australia	2006	(Other)	Rented State or territory housing authority	49
Western Australia	2006	Flat/apartment		9393
Western Australia	2006	Flat/apartment	Other tenure type	1799
Western Australia	2006	Flat/apartment	Owned outright	8569
Western Australia	2006	Flat/apartment	Owned with a mortgage	8116
Western Australia	2006	Flat/apartment	Rented Housing co operative community church group	1283
Western Australia	2006	Flat/apartment	Rented Landlord type not stated	644
Western Australia	2006	Flat/apartment	Rented Other landlord type	1348
Western Australia	2006	Flat/apartment	Rented Person not in same household	7690
Western Australia	2006	Flat/apartment	Rented Real estate agent	15717
Western Australia	2006	Flat/apartment	Rented State or territory housing authority	6670
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.		7692
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2259
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	17963
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	17320
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	957
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	801
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	1535
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	9141
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	13958
Western Australia	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	7674
Western Australia	2006	Separate house		37971
Western Australia	2006	Separate house	Other tenure type	3293
Western Australia	2006	Separate house	Owned outright	192384
Western Australia	2006	Separate house	Owned with a mortgage	239596
Western Australia	2006	Separate house	Rented Housing co operative community church group	2806
Western Australia	2006	Separate house	Rented Landlord type not stated	4713
Western Australia	2006	Separate house	Rented Other landlord type	10369
Western Australia	2006	Separate house	Rented Person not in same household	43391
Western Australia	2006	Separate house	Rented Real estate agent	50049
Western Australia	2006	Separate house	Rented State or territory housing authority	14493
Western Australia	2011			158
Western Australia	2011		Other tenure type	98
Western Australia	2011		Owned outright	723
Western Australia	2011		Owned with a mortgage	166
Western Australia	2011		Rented Housing co operative community church group	21
Western Australia	2011		Rented Landlord type not stated	56
Western Australia	2011		Rented Other landlord type	168
Western Australia	2011		Rented Person not in same household	88
Western Australia	2011		Rented Real estate agent	88
Western Australia	2011		Rented State or territory housing authority	54
Western Australia	2011	(Other)		3561
Western Australia	2011	(Other)	Other tenure type	457
Western Australia	2011	(Other)	Owned outright	10535
Western Australia	2011	(Other)	Owned with a mortgage	954
Western Australia	2011	(Other)	Rented Housing co operative community church group	80
Western Australia	2011	(Other)	Rented Landlord type not stated	246
Western Australia	2011	(Other)	Rented Other landlord type	2362
Western Australia	2011	(Other)	Rented Person not in same household	637
Western Australia	2011	(Other)	Rented Real estate agent	213
Western Australia	2011	(Other)	Rented State or territory housing authority	49
Western Australia	2011	Flat/apartment		8548
Western Australia	2011	Flat/apartment	Other tenure type	2050
Western Australia	2011	Flat/apartment	Owned outright	9177
Western Australia	2011	Flat/apartment	Owned with a mortgage	10657
Western Australia	2011	Flat/apartment	Rented Housing co operative community church group	1540
Western Australia	2011	Flat/apartment	Rented Landlord type not stated	592
Western Australia	2011	Flat/apartment	Rented Other landlord type	1971
Western Australia	2011	Flat/apartment	Rented Person not in same household	8879
Western Australia	2011	Flat/apartment	Rented Real estate agent	21414
Western Australia	2011	Flat/apartment	Rented State or territory housing authority	6712
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.		7713
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	2855
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	17964
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	20255
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1310
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	673
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	2153
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	10198
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	18397
Western Australia	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	9026
Western Australia	2011	Separate house		36248
Western Australia	2011	Separate house	Other tenure type	4221
Western Australia	2011	Separate house	Owned outright	205720
Western Australia	2011	Separate house	Owned with a mortgage	270363
Western Australia	2011	Separate house	Rented Housing co operative community church group	2264
Western Australia	2011	Separate house	Rented Landlord type not stated	4375
Western Australia	2011	Separate house	Rented Other landlord type	13878
Western Australia	2011	Separate house	Rented Person not in same household	50383
Western Australia	2011	Separate house	Rented Real estate agent	64743
Western Australia	2011	Separate house	Rented State or territory housing authority	16400
Western Australia	2016			1103
Western Australia	2016		Other tenure type	106
Western Australia	2016		Owned outright	853
Western Australia	2016		Owned with a mortgage	766
Western Australia	2016		Rented Housing co operative community church group	33
Western Australia	2016		Rented Landlord type not stated	76
Western Australia	2016		Rented Other landlord type	343
Western Australia	2016		Rented Person not in same household	292
Western Australia	2016		Rented Real estate agent	364
Western Australia	2016		Rented State or territory housing authority	103
Western Australia	2016	(Other)		4747
Western Australia	2016	(Other)	Other tenure type	408
Western Australia	2016	(Other)	Owned outright	9414
Western Australia	2016	(Other)	Owned with a mortgage	985
Western Australia	2016	(Other)	Rented Housing co operative community church group	52
Western Australia	2016	(Other)	Rented Landlord type not stated	172
Western Australia	2016	(Other)	Rented Other landlord type	1850
Western Australia	2016	(Other)	Rented Person not in same household	481
Western Australia	2016	(Other)	Rented Real estate agent	211
Western Australia	2016	(Other)	Rented State or territory housing authority	60
Western Australia	2016	Flat/apartment		8569
Western Australia	2016	Flat/apartment	Other tenure type	1726
Western Australia	2016	Flat/apartment	Owned outright	6417
Western Australia	2016	Flat/apartment	Owned with a mortgage	8688
Western Australia	2016	Flat/apartment	Rented Housing co operative community church group	1020
Western Australia	2016	Flat/apartment	Rented Landlord type not stated	347
Western Australia	2016	Flat/apartment	Rented Other landlord type	1256
Western Australia	2016	Flat/apartment	Rented Person not in same household	5889
Western Australia	2016	Flat/apartment	Rented Real estate agent	19679
Western Australia	2016	Flat/apartment	Rented State or territory housing authority	3736
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.		12597
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	3410
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	25594
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	31994
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	1799
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	851
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	2407
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	13022
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	29407
Western Australia	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	11744
Western Australia	2016	Separate house		47338
Western Australia	2016	Separate house	Other tenure type	4289
Western Australia	2016	Separate house	Owned outright	213803
Western Australia	2016	Separate house	Owned with a mortgage	303787
Western Australia	2016	Separate house	Rented Housing co operative community church group	1746
Western Australia	2016	Separate house	Rented Landlord type not stated	3763
Western Australia	2016	Separate house	Rented Other landlord type	13510
Western Australia	2016	Separate house	Rented Person not in same household	48610
Western Australia	2016	Separate house	Rented Real estate agent	72928
Western Australia	2016	Separate house	Rented State or territory housing authority	15753
Tasmania	2006			3
Tasmania	2006		Other tenure type	0
Tasmania	2006		Owned outright	6
Tasmania	2006		Owned with a mortgage	8
Tasmania	2006		Rented Housing co operative community church group	0
Tasmania	2006		Rented Landlord type not stated	0
Tasmania	2006		Rented Other landlord type	0
Tasmania	2006		Rented Person not in same household	0
Tasmania	2006		Rented Real estate agent	0
Tasmania	2006		Rented State or territory housing authority	0
Tasmania	2006	(Other)		292
Tasmania	2006	(Other)	Other tenure type	35
Tasmania	2006	(Other)	Owned outright	614
Tasmania	2006	(Other)	Owned with a mortgage	292
Tasmania	2006	(Other)	Rented Housing co operative community church group	7
Tasmania	2006	(Other)	Rented Landlord type not stated	57
Tasmania	2006	(Other)	Rented Other landlord type	217
Tasmania	2006	(Other)	Rented Person not in same household	221
Tasmania	2006	(Other)	Rented Real estate agent	96
Tasmania	2006	(Other)	Rented State or territory housing authority	5
Tasmania	2006	Flat/apartment		1573
Tasmania	2006	Flat/apartment	Other tenure type	317
Tasmania	2006	Flat/apartment	Owned outright	2752
Tasmania	2006	Flat/apartment	Owned with a mortgage	1208
Tasmania	2006	Flat/apartment	Rented Housing co operative community church group	419
Tasmania	2006	Flat/apartment	Rented Landlord type not stated	289
Tasmania	2006	Flat/apartment	Rented Other landlord type	480
Tasmania	2006	Flat/apartment	Rented Person not in same household	2935
Tasmania	2006	Flat/apartment	Rented Real estate agent	3533
Tasmania	2006	Flat/apartment	Rented State or territory housing authority	2808
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.		664
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	111
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	1635
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	1038
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	212
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	104
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	151
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	1199
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	1395
Tasmania	2006	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	1347
Tasmania	2006	Separate house		8033
Tasmania	2006	Separate house	Other tenure type	987
Tasmania	2006	Separate house	Owned outright	64479
Tasmania	2006	Separate house	Owned with a mortgage	58531
Tasmania	2006	Separate house	Rented Housing co operative community church group	463
Tasmania	2006	Separate house	Rented Landlord type not stated	1352
Tasmania	2006	Separate house	Rented Other landlord type	1868
Tasmania	2006	Separate house	Rented Person not in same household	11756
Tasmania	2006	Separate house	Rented Real estate agent	9270
Tasmania	2006	Separate house	Rented State or territory housing authority	6296
Tasmania	2011			12
Tasmania	2011		Other tenure type	3
Tasmania	2011		Owned outright	39
Tasmania	2011		Owned with a mortgage	29
Tasmania	2011		Rented Housing co operative community church group	11
Tasmania	2011		Rented Landlord type not stated	6
Tasmania	2011		Rented Other landlord type	3
Tasmania	2011		Rented Person not in same household	13
Tasmania	2011		Rented Real estate agent	17
Tasmania	2011		Rented State or territory housing authority	0
Tasmania	2011	(Other)		275
Tasmania	2011	(Other)	Other tenure type	20
Tasmania	2011	(Other)	Owned outright	562
Tasmania	2011	(Other)	Owned with a mortgage	252
Tasmania	2011	(Other)	Rented Housing co operative community church group	17
Tasmania	2011	(Other)	Rented Landlord type not stated	41
Tasmania	2011	(Other)	Rented Other landlord type	177
Tasmania	2011	(Other)	Rented Person not in same household	239
Tasmania	2011	(Other)	Rented Real estate agent	109
Tasmania	2011	(Other)	Rented State or territory housing authority	6
Tasmania	2011	Flat/apartment		1219
Tasmania	2011	Flat/apartment	Other tenure type	310
Tasmania	2011	Flat/apartment	Owned outright	2424
Tasmania	2011	Flat/apartment	Owned with a mortgage	1440
Tasmania	2011	Flat/apartment	Rented Housing co operative community church group	591
Tasmania	2011	Flat/apartment	Rented Landlord type not stated	201
Tasmania	2011	Flat/apartment	Rented Other landlord type	496
Tasmania	2011	Flat/apartment	Rented Person not in same household	2613
Tasmania	2011	Flat/apartment	Rented Real estate agent	3875
Tasmania	2011	Flat/apartment	Rented State or territory housing authority	2331
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.		783
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	213
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Owned outright	2092
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	1485
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	335
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	125
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	252
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	1581
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	2197
Tasmania	2011	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	1798
Tasmania	2011	Separate house		7172
Tasmania	2011	Separate house	Other tenure type	1045
Tasmania	2011	Separate house	Owned outright	65496
Tasmania	2011	Separate house	Owned with a mortgage	63072
Tasmania	2011	Separate house	Rented Housing co operative community church group	538
Tasmania	2011	Separate house	Rented Landlord type not stated	1163
Tasmania	2011	Separate house	Rented Other landlord type	2004
Tasmania	2011	Separate house	Rented Person not in same household	12557
Tasmania	2011	Separate house	Rented Real estate agent	12386
Tasmania	2011	Separate house	Rented State or territory housing authority	6264
Tasmania	2016			121
Tasmania	2016		Other tenure type	14
Tasmania	2016		Owned outright	206
Tasmania	2016		Owned with a mortgage	200
Tasmania	2016		Rented Housing co operative community church group	9
Tasmania	2016		Rented Landlord type not stated	7
Tasmania	2016		Rented Other landlord type	38
Tasmania	2016		Rented Person not in same household	109
Tasmania	2016		Rented Real estate agent	80
Tasmania	2016		Rented State or territory housing authority	9
Tasmania	2016	(Other)		409
Tasmania	2016	(Other)	Other tenure type	24
Tasmania	2016	(Other)	Owned outright	558
Tasmania	2016	(Other)	Owned with a mortgage	221
Tasmania	2016	(Other)	Rented Housing co operative community church group	4
Tasmania	2016	(Other)	Rented Landlord type not stated	27
Tasmania	2016	(Other)	Rented Other landlord type	187
Tasmania	2016	(Other)	Rented Person not in same household	166
Tasmania	2016	(Other)	Rented Real estate agent	110
Tasmania	2016	(Other)	Rented State or territory housing authority	6
Tasmania	2016	Flat/apartment		1389
Tasmania	2016	Flat/apartment	Other tenure type	206
Tasmania	2016	Flat/apartment	Owned outright	1510
Tasmania	2016	Flat/apartment	Owned with a mortgage	1106
Tasmania	2016	Flat/apartment	Rented Housing co operative community church group	447
Tasmania	2016	Flat/apartment	Rented Landlord type not stated	122
Tasmania	2016	Flat/apartment	Rented Other landlord type	287
Tasmania	2016	Flat/apartment	Rented Person not in same household	2009
Tasmania	2016	Flat/apartment	Rented Real estate agent	3893
Tasmania	2016	Flat/apartment	Rented State or territory housing authority	1552
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.		1299
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	291
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Owned outright	1959
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Owned with a mortgage	1285
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Housing co operative community church group	598
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Landlord type not stated	132
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Other landlord type	292
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Person not in same household	1574
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented Real estate agent	2838
Tasmania	2016	Semi-detached, row/terrace house, townhouse etc.	Rented State or territory housing authority	2058
Tasmania	2016	Separate house		11504
Tasmania	2016	Separate house	Other tenure type	1252
Tasmania	2016	Separate house	Owned outright	67181
Tasmania	2016	Separate house	Owned with a mortgage	63798
Tasmania	2016	Separate house	Rented Housing co operative community church group	836
Tasmania	2016	Separate house	Rented Landlord type not stated	1104
Tasmania	2016	Separate house	Rented Other landlord type	1892
Tasmania	2016	Separate house	Rented Person not in same household	13286
Tasmania	2016	Separate house	Rented Real estate agent	15625
Tasmania	2016	Separate house	Rented State or territory housing authority	5757
Northern Territory	2006			10
Northern Territory	2006		Other tenure type	3
Northern Territory	2006		Owned outright	54
Northern Territory	2006		Owned with a mortgage	9
Northern Territory	2006		Rented Housing co operative community church group	0
Northern Territory	2006		Rented Landlord type not stated	4
Northern Territory	2006		Rented Other landlord type	10
Northern Territory	2006		Rented Person not in same household	11
Northern Territory	2006		Rented Real estate agent	9
Northern Territory	2006		Rented State or territory housing authority	0
Northern Territory	2006	(Other)		2023
Northern Territory	2006	(Other)	Other tenure type	276
Northern Territory	2006	(Other)	Owned outright	3300
Northern Territory	2006	(Other)	Owned with a mortgage	326
Northern Territory	2006	(Other)	Rented Housing co operative community church group	130
Northern Territory	2006	(Other)	Rented Landlord type not stated	126
Northern Territory	2006	(Other)	Rented Other landlord type	701
Northern Territory	2006	(Other)	Rented Person not in same household	260
Northern Territory	2006	(Other)	Rented Real estate agent	47
Northern Territory	2006	(Other)	Rented State or territory housing authority	27
Northern Territory	2006	Flat/apartment		1688
Northern Territory	2006	Flat/apartment	Other tenure type	45
Northern Territory	2006	Flat/apartment	Owned outright	682
Northern Territory	2006	Flat/apartment	Owned with a mortgage	1592
Northern Territory	2006	Flat/apartment	Rented Housing co operative community church group	49
Northern Territory	2006	Flat/apartment	Rented Landlord type not stated	130
Northern Territory	2006	Flat/apartment	Rented Other landlord type	819
Northern Territory	2006	Flat/apartment	Rented Person not in same household	1266
Northern Territory	2006	Flat/apartment	Rented Real estate agent	2917
Northern Territory	2006	Flat/apartment	Rented State or territory housing authority	1094
Northern Territory	2006	Semi-detached, row/terrace house, townhouse etc.		848
Northern Territory	2006	Semi-detached, row/terrace house, townhouse etc.	Other tenure type	33
Northern Territory	2006	Semi-detached, row/terrace house, townhouse etc.	Owned outright	507
